H,A,V
0.0000,100000.0000,0.0000
0.1000,100000.0000,10000.0000
0.2000,100000.0000,20000.0000
0.3000,100000.0000,30000.0000
0.4000,100000.0000,40000.0000
0.5000,100000.0000,50000.0000
0.6000,100000.0000,60000.0000
0.7000,100000.0000,70000.0000
0.8000,100000.0000,80000.0000
0.9000,100000.0000,90000.0000
1.0000,100000.0000,100000.0000
1.1000,100000.0000,110000.0000
1.2000,100000.0000,120000.0000
1.3000,100000.0000,130000.0000
1.4000,100000.0000,140000.0000
1.5000,100000.0000,150000.0000
1.6000,100000.0000,160000.0000
1.7000,100000.0000,170000.0000
1.8000,100000.0000,180000.0000
1.9000,100000.0000,190000.0000
2.0000,100000.0000,200000.0000
