! Central Basin - Station 952
! 2002101.000
33	data sets
4	number of depths
32	86	i,j
DEPTH	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI
0	0.05	5	0	13.72	8.3	21.6	0.175	2.5	0.01057	0.002265	0.002265	0.001	0.01	0.188	0.0767	0.0767	0.001	1.2	0.008	0.04	0.008	0.056	0.288	0.00000	0.00001	0.00000	0.00001	0.00006	0.0000	0.0001	0.0000	0.0002	0.0009
5	0.05	5	0	13.72	8.3	21.6	0.175	2.5	0.01057	0.002265	0.002265	0.001	0.01	0.188	0.0767	0.0767	0.001	1.2	0.008	0.04	0.008	0.056	0.288	0.00000	0.00001	0.00000	0.00001	0.00006	0.0000	0.0001	0.0000	0.0002	0.0009
10	0.05	5	0	13.72	8.3	21.6	0.175	2.5	0.01057	0.002265	0.002265	0.001	0.01	0.188	0.0767	0.0767	0.001	1.2	0.008	0.04	0.008	0.056	0.288	0.00000	0.00001	0.00000	0.00001	0.00006	0.0000	0.0001	0.0000	0.0002	0.0009
20	0.05	5	0	13.72	8.3	21.6	0.175	2.5	0.01057	0.002265	0.002265	0.001	0.01	0.188	0.0767	0.0767	0.001	1.2	0.008	0.04	0.008	0.056	0.288	0.00000	0.00001	0.00000	0.00001	0.00006	0.0000	0.0001	0.0000	0.0002	0.0009
