! Central Basin - Station 949
! 2002101.000
33	data sets
4	number of depths
41	100	i,j
DEPTH	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI
0	0.05	5	0	13.69	8.2	20.4	0.243	2.5	0.01092	0.00234	0.00234	0.001	0.019	0.221	0.0767	0.0767	0.001	0.89	0.002	0.01	0.002	0.014	0.072	0.00000	0.00000	0.00000	0.00000	0.00001	0.0000	0.0000	0.0000	0.0000	0.0002
5	0.05	5	0	13.69	8.2	20.4	0.243	2.5	0.01092	0.00234	0.00234	0.001	0.019	0.221	0.0767	0.0767	0.001	0.89	0.002	0.01	0.002	0.014	0.072	0.00000	0.00000	0.00000	0.00000	0.00001	0.0000	0.0000	0.0000	0.0000	0.0002
10	0.05	5	0	13.69	8.2	20.4	0.243	2.5	0.01092	0.00234	0.00234	0.001	0.019	0.221	0.0767	0.0767	0.001	0.89	0.002	0.01	0.002	0.014	0.072	0.00000	0.00000	0.00000	0.00000	0.00001	0.0000	0.0000	0.0000	0.0000	0.0002
20	0.05	5	0	13.69	8.2	20.4	0.243	2.5	0.01092	0.00234	0.00234	0.001	0.019	0.221	0.0767	0.0767	0.001	0.89	0.002	0.01	0.002	0.014	0.072	0.00000	0.00000	0.00000	0.00000	0.00001	0.0000	0.0000	0.0000	0.0000	0.0002
