! Central Basin - Station ER_30; file prepared by Serghei Bocaniov - included Temp profiles in same file by Luis Leon
! 2008112.000
34	data sets
4	number of depths
31	96	i,j
DEPTH	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI
0	4.79	0.05	5.0	0.0	14.77	8.40	22.16	0.32	2.50	0.00079	0.00000	0.00118	0.00100	0.00828	0.13800	0.00552	0.01518	0.00100	0.0036	0.249	0.831	0.249	1.164	5.818	0.00025	0.00042	0.00012	0.00058	0.00291	0.00224	0.00332	0.00100	0.00465	0.02327	   
5	4.69	0.05	5.0	0.0	14.77	8.40	22.16	0.32	2.50	0.00079	0.00000	0.00118	0.00100	0.00828	0.13800	0.00552	0.01518	0.00100	0.0036	0.249	0.831	0.249	1.164	5.818	0.00025	0.00042	0.00012	0.00058	0.00291	0.00224	0.00332	0.00100	0.00465	0.02327	   
10	4.17	0.05	5.0	0.0	14.77	8.40	22.16	0.32	2.50	0.00079	0.00000	0.00118	0.00100	0.00828	0.13800	0.00552	0.01518	0.00100	0.0036	0.249	0.831	0.249	1.164	5.818	0.00025	0.00042	0.00012	0.00058	0.00291	0.00224	0.00332	0.00100	0.00465	0.02327	   
20	3.98	0.05	5.0	0.0	14.77	8.40	22.16	0.32	2.50	0.00079	0.00000	0.00118	0.00100	0.00828	0.13800	0.00552	0.01518	0.00100	0.0036	0.249	0.831	0.249	1.164	5.818	0.00025	0.00042	0.00012	0.00058	0.00291	0.00224	0.00332	0.00100	0.00465	0.02327	 
