! -----------------------------------------------------
! Lake Erie 2002-14
! Inflow (Sandusky River)
! File prepared by LL
! -----------------------------------------------------
22  data sets																					   
0 seconds between data																					   
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	   
DAY	INFLOW	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	PO4	DOPL	POPL	PIP	NH4	NO3	DONL	PONL	DOCL	POCL	SiO2	FDIAT	MDIAT	CRYPT	CHLOR	CYANO	   
2002002.500	111.93	0.10	0.056	1.4	0	14.55	0.032	0.0044	0.0145	0.010	0.02	7.16	1.08	0.46	2.0	0.2	10.44	0.1	0.72	0.14	0.02	0.02
2002003.500	102.21	0.10	0.056	3.6	0	14.55	0.033	0.0042	0.0123	0.008	0.02	7.22	1.09	0.47	2.0	0.2	10.52	0.1	0.72	0.14	0.02	0.02
2002004.500	98.39	0.10	0.056	1.5	0	14.55	0.036	0.0040	0.0099	0.006	0.02	6.89	1.03	0.44	2.0	0.2	10.60	0.1	0.72	0.14	0.02	0.02
2002005.500	93.29	0.10	0.056	4.2	0	14.55	0.036	0.0040	0.0096	0.006	0.02	6.61	1.00	0.43	2.0	0.2	10.34	0.1	0.72	0.14	0.02	0.02
2002006.500	49.94	0.10	0.056	1.5	0	14.55	0.035	0.0041	0.0110	0.007	0.02	6.35	0.96	0.41	2.0	0.2	9.64	0.1	0.72	0.14	0.02	0.02
2002007.167	46.75	0.10	0.056	3.0	0	14.55	0.030	0.0036	0.0101	0.006	0.02	3.86	0.61	0.26	2.0	0.2	9.87	0.1	0.72	0.14	0.02	0.02
2002007.500	44.15	0.10	0.056	2.6	0	14.55	0.018	0.0040	0.0188	0.015	0.02	6.11	0.93	0.40	2.0	0.2	9.00	0.1	0.72	0.14	0.02	0.02
2002008.500	78.13	0.10	0.056	14.0	0	14.55	0.015	0.0043	0.0227	0.018	0.02	5.93	0.92	0.39	2.0	0.2	8.62	0.1	0.72	0.14	0.02	0.02
2002009.500	23.52	2.21	0.056	2.9	0	13.75	0.012	0.0038	0.0206	0.017	0.02	5.68	0.86	0.37	2.0	0.2	8.47	0.1	0.72	0.14	0.02	0.02
2002010.500	7.60	0.72	0.056	2.8	0	14.31	0.015	0.0038	0.0185	0.015	0.02	5.38	0.81	0.35	2.0	0.2	8.11	0.1	0.72	0.14	0.02	0.02
2002012.500	6.01	0.10	0.056	3.5	0	14.55	0.013	0.0034	0.0170	0.014	0.02	4.89	0.74	0.32	2.0	0.2	7.46	0.1	0.72	0.14	0.02	0.02
2002013.500	10.31	0.10	0.056	4.0	0	14.55	0.002	0.0034	0.0223	0.019	0.02	4.66	0.71	0.30	2.0	0.2	7.27	0.1	0.72	0.14	0.02	0.02
2002014.167	5.86	0.12	0.056	1.7	0	14.54	0.006	0.0030	0.0179	0.015	0.02	4.47	0.69	0.29	2.0	0.2	8.05	0.1	0.72	0.14	0.02	0.02
2002014.500	6.32	0.10	0.056	2.1	0	14.55	0.018	0.0028	0.0104	0.008	0.02	4.32	0.66	0.28	2.0	0.2	7.90	0.1	0.72	0.14	0.02	0.02
2002015.500	7.10	0.87	0.056	1.9	0	14.25	0.018	0.0027	0.0100	0.007	0.02	4.19	0.64	0.28	2.0	0.2	7.67	0.1	0.72	0.14	0.02	0.02
2002016.500	8.60	0.10	0.056	3.6	0	14.55	0.021	0.0027	0.0084	0.006	0.02	3.97	0.61	0.26	2.0	0.2	7.30	0.1	0.72	0.14	0.02	0.02
2002017.500	9.17	0.10	0.056	2.6	0	14.55	0.021	0.0028	0.0088	0.006	0.02	3.88	0.60	0.26	2.0	0.2	7.28	0.1	0.72	0.14	0.02	0.02
2002018.500	9.93	0.10	0.056	4.0	0	14.55	0.020	0.0029	0.0100	0.007	0.02	3.78	0.59	0.25	2.0	0.2	7.10	0.1	0.72	0.14	0.02	0.02
