! -----------------------------------------------------
! Lake Erie 2002-14
! Inflow (Sandusky River)
! File prepared by LL
! -----------------------------------------------------
22  data sets																					   
0 seconds between data																					   
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	   
DAY	INFLOW	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	PO4	DOPL	POPL	PIP	NH4	NO3	DONL	PONL	DOCL	POCL	SiO2	FDIAT	MDIAT	CRYPT	CHLOR	CYANO	   
2002019.500	8.98	0.10	0.056	3.0	0	14.55	0.021	0.0029	0.0097	0.007	0.02	4.12	0.70	0.30	2.0	0.2	6.73	0.1	0.72	0.14	0.02	0.02
2002020.500	10.94	0.10	0.056	2.9	0	14.55	0.021	0.0029	0.0095	0.007	0.02	3.80	0.61	0.26	2.0	0.2	6.57	0.1	0.72	0.14	0.02	0.02
2002021.167	6.01	0.10	0.056	3.5	0	14.55	0.019	0.0027	0.0092	0.006	0.02	3.80	0.59	0.25	2.0	0.2	6.25	0.1	0.72	0.14	0.02	0.02
2002021.500	5.86	0.10	0.056	3.5	0	14.55	0.020	0.0024	0.0069	0.004	0.02	3.75	0.58	0.25	2.0	0.2	6.14	0.1	0.72	0.14	0.02	0.02
2002022.500	7.93	0.10	0.056	2.7	0	14.55	0.019	0.0025	0.0083	0.006	0.02	3.74	0.58	0.25	2.0	0.2	5.87	0.1	0.72	0.14	0.02	0.02
2002023.500	6.01	2.55	0.056	2.9	0	13.63	0.017	0.0024	0.0083	0.006	0.02	3.79	0.59	0.25	2.0	0.2	5.24	0.1	0.72	0.14	0.02	0.02
2002024.500	6.16	0.37	0.056	1.3	0	14.44	0.016	0.0023	0.0084	0.006	0.02	3.77	0.58	0.25	2.0	0.2	5.02	0.1	0.72	0.14	0.02	0.02
2002025.500	7.10	0.10	0.056	3.5	0	14.55	0.018	0.0025	0.0087	0.006	0.02	4.38	0.67	0.29	2.0	0.2	4.94	0.1	0.72	0.14	0.02	0.02
2002026.500	7.77	0.46	0.056	4.0	0	14.41	0.020	0.0027	0.0093	0.007	0.02	4.90	0.76	0.33	2.0	0.2	5.13	0.1	0.72	0.14	0.02	0.02
2002027.500	9.55	0.10	0.056	2.8	0	14.55	0.014	0.0023	0.0089	0.007	0.02	4.49	0.70	0.30	2.0	0.2	5.04	0.1	0.72	0.14	0.02	0.02
2002028.167	9.93	2.00	0.056	4.3	0	13.83	0.012	0.0022	0.0089	0.007	0.02	4.35	0.68	0.29	2.0	0.2	4.72	0.1	0.72	0.14	0.02	0.02
2002028.500	10.12	0.51	0.056	3.8	0	14.39	0.012	0.0021	0.0086	0.006	0.02	4.47	0.69	0.30	2.0	0.2	4.82	0.1	0.72	0.14	0.02	0.02
2002029.500	8.98	2.04	0.056	4.0	0	13.81	0.010	0.0021	0.0094	0.007	0.02	4.49	0.69	0.30	2.0	0.2	3.93	0.1	0.72	0.14	0.02	0.02
2002030.500	43.78	0.10	0.056	53.5	0	14.55	0.019	0.0077	0.0444	0.037	0.02	5.50	0.87	0.37	2.0	0.2	4.15	0.1	0.72	0.14	0.02	0.02
2002030.833	71.98	0.10	0.056	262.1	0	14.55	0.059	0.0280	0.1652	0.137	0.02	8.66	1.48	0.63	2.0	0.2	6.47	0.1	0.72	0.14	0.02	0.02
2002031.167	76.44	0.10	0.056	230.0	0	14.55	0.070	0.0301	0.1742	0.144	0.02	10.22	1.69	0.72	2.0	0.2	7.51	0.1	0.72	0.14	0.02	0.02
2002031.500	99.02	0.10	0.056	685.4	0	14.55	0.066	0.0164	0.0809	0.064	0.02	10.29	1.74	0.75	2.0	0.2	7.58	0.1	0.72	0.14	0.02	0.02
2002031.833	155.56	0.10	0.056	222.0	0	14.55	0.060	0.0224	0.1255	0.103	0.02	9.55	0.08	0.03	2.0	0.2	7.45	0.1	0.72	0.14	0.02	0.02
2002032.167	292.77	0.22	0.056	523.8	0	14.50	0.067	0.0329	0.1950	0.162	0.02	7.94	1.21	0.52	2.0	0.2	7.25	0.1	0.72	0.14	0.02	0.02
2002032.500	415.12	1.87	0.056	651.8	0	13.88	0.077	0.0329	0.1902	0.157	0.02	6.43	1.21	0.52	2.0	0.2	6.32	0.1	0.72	0.14	0.02	0.02
2002032.833	461.90	0.10	0.056	561.9	0	14.55	0.078	0.0329	0.1897	0.157	0.02	5.71	1.21	0.52	2.0	0.2	6.51	0.1	0.72	0.14	0.02	0.02
2002033.167	465.53	0.10	0.056	448.9	0	14.55	0.089	0.0505	0.3063	0.256	0.02	6.04	1.18	0.51	2.0	0.2	7.06	0.1	0.72	0.14	0.02	0.02
2002033.500	413.43	0.10	0.056	274.4	0	14.55	0.087	0.0413	0.2438	0.202	0.02	7.42	1.35	0.58	2.0	0.2	8.07	0.1	0.72	0.14	0.02	0.02
2002033.833	336.80	0.10	0.056	236.0	0	14.55	0.079	0.0362	0.2117	0.176	0.02	7.95	1.41	0.60	2.0	0.2	8.03	0.1	0.72	0.14	0.02	0.02
2002034.167	297.16	0.10	0.056	218.5	0	14.55	0.075	0.0337	0.1962	0.162	0.02	8.11	1.41	0.61	2.0	0.2	8.10	0.1	0.72	0.14	0.02	0.02
2002034.500	271.16	0.10	0.056	180.6	0	14.55	0.074	0.0323	0.1878	0.155	0.02	8.13	1.38	0.59	2.0	0.2	8.26	0.1	0.72	0.14	0.02	0.02
2002034.833	244.59	0.10	0.056	146.4	0	14.55	0.077	0.0286	0.1600	0.131	0.02	8.27	1.40	0.60	2.0	0.2	7.83	0.1	0.72	0.14	0.02	0.02
2002035.500	185.50	0.10	0.056	145.4	0	14.55	0.080	0.0277	0.1522	0.125	0.02	8.16	1.39	0.60	2.0	0.2	8.56	0.1	0.72	0.14	0.02	0.02
2002035.833	145.72	0.10	0.056	120.5	0	14.55	0.081	0.0255	0.1365	0.111	0.02	8.23	1.36	0.58	2.0	0.2	8.34	0.1	0.72	0.14	0.02	0.02
2002036.167	104.13	0.10	0.056	98.9	0	14.55	0.079	0.0236	0.1240	0.100	0.02	8.35	1.36	0.58	2.0	0.2	8.59	0.1	0.72	0.14	0.02	0.02
2002036.500	73.64	0.10	0.056	87.8	0	14.55	0.078	0.0216	0.1114	0.090	0.02	8.61	1.38	0.59	2.0	0.2	8.73	0.1	0.72	0.14	0.02	0.02
2002036.833	58.09	0.10	0.056	73.2	0	14.55	0.078	0.0188	0.0920	0.073	0.02	8.61	1.39	0.59	2.0	0.2	8.79	0.1	0.72	0.14	0.02	0.02
2002037.167	49.00	0.10	0.056	61.3	0	14.55	0.074	0.0164	0.0768	0.060	0.02	8.44	1.32	0.57	2.0	0.2	8.88	0.1	0.72	0.14	0.02	0.02
2002037.500	42.50	0.10	0.056	55.0	0	14.55	0.064	0.0147	0.0703	0.056	0.02	8.72	1.36	0.58	2.0	0.2	8.77	0.1	0.72	0.14	0.02	0.02
2002038.500	29.50	0.10	0.056	36.2	0	14.55	0.054	0.0109	0.0489	0.038	0.02	8.64	1.35	0.58	2.0	0.2	8.89	0.1	0.72	0.14	0.02	0.02
2002039.500	23.21	0.10	0.056	28.9	0	14.55	0.051	0.0089	0.0362	0.027	0.02	8.09	1.27	0.54	2.0	0.2	8.65	0.1	0.72	0.14	0.02	0.02
2002040.500	19.57	0.10	0.056	22.6	0	14.55	0.045	0.0075	0.0298	0.022	0.02	7.80	1.19	0.51	2.0	0.2	8.66	0.1	0.72	0.14	0.02	0.02
2002041.500	16.58	1.92	0.056	17.9	0	13.86	0.041	0.0061	0.0215	0.015	0.02	7.55	1.15	0.49	2.0	0.2	8.29	0.1	0.72	0.14	0.02	0.02
2002042.167	17.09	0.10	0.056	19.9	0	14.55	0.037	0.0058	0.0215	0.016	0.02	7.64	1.15	0.49	2.0	0.2	7.95	0.1	0.72	0.14	0.02	0.02
2002042.500	14.82	0.10	0.056	17.8	0	14.55	0.028	0.0052	0.0220	0.017	0.02	7.40	1.12	0.48	2.0	0.2	7.49	0.1	0.72	0.14	0.02	0.02
2002043.500	26.91	1.90	0.056	18.1	0	13.86	0.029	0.0045	0.0167	0.012	0.02	7.17	1.08	0.46	2.0	0.2	7.48	0.1	0.72	0.14	0.02	0.02
2002044.500	34.20	0.10	0.056	20.5	0	14.55	0.029	0.0050	0.0200	0.015	0.02	6.27	0.95	0.41	2.0	0.2	7.22	0.1	0.72	0.14	0.02	0.02
2002045.500	31.41	0.10	0.056	24.2	0	14.55	0.028	0.0063	0.0299	0.024	0.02	6.56	1.00	0.43	2.0	0.2	7.11	0.1	0.72	0.14	0.02	0.02
2002046.500	24.20	0.10	0.056	21.2	0	14.55	0.028	0.0056	0.0246	0.019	0.02	6.97	1.06	0.45	2.0	0.2	6.89	0.1	0.72	0.14	0.02	0.02
2002047.500	19.86	0.10	0.056	16.6	0	14.55	0.028	0.0050	0.0211	0.016	0.02	6.84	1.03	0.44	2.0	0.2	6.55	0.1	0.72	0.14	0.02	0.02
2002048.500	16.84	0.10	0.056	15.8	0	14.55	0.024	0.0046	0.0199	0.015	0.02	6.77	1.03	0.44	2.0	0.2	6.24	0.1	0.72	0.14	0.02	0.02
2002049.167	15.31	0.10	0.056	15.3	0	14.55	0.025	0.0040	0.0151	0.011	0.02	6.68	1.02	0.44	2.0	0.2	6.29	0.1	0.72	0.14	0.02	0.02
2002049.500	14.58	0.10	0.056	12.5	0	14.55	0.026	0.0056	0.0255	0.020	0.02	7.08	1.07	0.46	2.0	0.2	6.94	0.1	0.72	0.14	0.02	0.02
2002050.500	12.92	0.10	0.056	9.8	0	14.55	0.020	0.0047	0.0227	0.018	0.02	6.74	1.02	0.44	2.0	0.2	6.54	0.1	0.72	0.14	0.02	0.02
2002051.500	13.15	3.98	0.056	9.6	0	13.13	0.015	0.0042	0.0214	0.017	0.02	6.61	0.99	0.42	2.0	0.2	5.86	0.1	0.72	0.14	0.02	0.02
2002052.500	17.35	1.94	0.056	16.2	0	13.85	0.017	0.0049	0.0252	0.020	0.02	6.49	0.98	0.42	2.0	0.2	5.36	0.1	0.72	0.14	0.02	0.02
2002053.500	18.45	0.85	0.056	12.8	0	14.26	0.015	0.0046	0.0243	0.020	0.02	6.22	0.94	0.40	2.0	0.2	6.01	0.1	0.72	0.14	0.02	0.02
2002054.500	16.58	0.10	0.056	9.7	0	14.55	0.015	0.0040	0.0204	0.016	0.02	6.03	0.92	0.39	2.0	0.2	5.99	0.1	0.72	0.14	0.02	0.02
2002055.500	15.05	0.10	0.056	7.8	0	14.55	0.016	0.0033	0.0152	0.012	0.02	5.91	0.90	0.38	2.0	0.2	5.28	0.1	0.72	0.14	0.02	0.02
2002056.167	14.10	4.24	0.056	12.1	0	13.04	0.010	0.0035	0.0193	0.016	0.02	6.02	0.91	0.39	2.0	0.2	4.71	0.1	0.72	0.14	0.02	0.02
2002056.500	13.63	2.10	0.056	10.4	0	13.79	0.011	0.0027	0.0130	0.010	0.02	6.08	0.91	0.39	2.0	0.2	4.78	0.1	0.72	0.14	0.02	0.02
2002057.500	13.87	0.87	0.056	9.8	0	14.25	0.008	0.0026	0.0143	0.012	0.02	6.05	0.92	0.40	2.0	0.2	3.90	0.1	0.72	0.14	0.02	0.02
2002058.500	17.35	0.10	0.056	15.2	0	14.55	0.009	0.0034	0.0193	0.016	0.02	6.34	0.96	0.41	2.0	0.2	4.03	0.1	0.72	0.14	0.02	0.02
2002059.500	15.82	0.10	0.056	9.5	0	14.55	0.009	0.0028	0.0146	0.012	0.02	6.14	0.93	0.40	2.0	0.2	4.61	0.1	0.72	0.14	0.02	0.02
2002060.500	14.10	0.10	0.056	7.1	0	14.55	0.006	0.0020	0.0111	0.009	0.02	5.73	0.87	0.37	2.0	0.2	4.22	0.1	0.72	0.14	0.02	0.02
2002061.500	13.39	0.66	0.056	6.2	0	14.33	0.006	0.0018	0.0097	0.008	0.02	5.64	0.85	0.37	2.0	0.2	2.94	0.1	0.72	0.14	0.02	0.02
2002062.500	23.52	1.26	0.056	24.7	0	14.10	0.006	0.0044	0.0274	0.023	0.02	6.27	0.96	0.41	2.0	0.2	3.42	0.1	0.72	0.14	0.02	0.02
2002062.833	56.06	0.10	0.056	95.4	0	14.55	0.007	0.0122	0.0812	0.069	0.02	6.14	0.99	0.42	2.0	0.2	4.23	0.1	0.72	0.14	0.02	0.02
2002063.167	73.64	0.10	0.056	150.1	0	14.55	0.015	0.0186	0.1216	0.103	0.02	5.57	0.95	0.41	2.0	0.2	4.82	0.1	0.72	0.14	0.02	0.02
2002063.500	70.37	0.10	0.056	157.0	0	14.55	0.020	0.0200	0.1288	0.109	0.02	5.96	1.02	0.44	2.0	0.2	5.11	0.1	0.72	0.14	0.02	0.02
2002063.833	68.75	0.10	0.056	193.6	0	14.55	0.031	0.0266	0.1693	0.143	0.02	6.23	1.11	0.47	2.0	0.2	5.29	0.1	0.72	0.14	0.02	0.02
2002064.167	65.60	0.10	0.056	192.4	0	14.55	0.022	0.0284	0.1865	0.158	0.02	6.99	1.25	0.54	2.0	0.2	5.68	0.1	0.72	0.14	0.02	0.02
2002064.500	60.54	0.10	0.056	173.3	0	14.55	0.024	0.0260	0.1685	0.143	0.02	7.60	1.32	0.56	2.0	0.2	5.91	0.1	0.72	0.14	0.02	0.02
2002064.833	52.35	0.36	0.056	125.8	0	14.45	0.022	0.0215	0.1383	0.117	0.02	7.73	1.31	0.56	2.0	0.2	5.90	0.1	0.72	0.14	0.02	0.02
2002065.167	43.41	0.92	0.056	138.1	0	14.23	0.025	0.0216	0.1372	0.116	0.02	7.76	1.32	0.57	2.0	0.2	6.18	0.1	0.72	0.14	0.02	0.02
2002065.500	34.60	2.57	0.056	119.6	0	13.62	0.026	0.0205	0.1298	0.109	0.02	7.97	1.38	0.59	2.0	0.2	6.43	0.1	0.72	0.14	0.02	0.02
2002065.833	29.13	4.93	0.056	101.2	0	12.81	0.022	0.0179	0.1137	0.096	0.02	7.95	1.32	0.57	2.0	0.2	6.60	0.1	0.72	0.14	0.02	0.02
2002066.167	25.55	2.87	0.056	79.2	0	13.51	0.019	0.0141	0.0884	0.074	0.02	7.71	1.25	0.54	2.0	0.2	6.49	0.1	0.72	0.14	0.02	0.02
2002066.500	23.21	0.10	0.056	66.0	0	14.55	0.017	0.0123	0.0774	0.065	0.02	7.55	1.20	0.51	2.0	0.2	6.28	0.1	0.72	0.14	0.02	0.02
2002066.833	21.66	0.78	0.056	66.7	0	14.29	0.016	0.0120	0.0756	0.064	0.02	7.36	1.16	0.50	2.0	0.2	6.22	0.1	0.72	0.14	0.02	0.02
2002067.167	20.42	0.75	0.056	59.4	0	14.30	0.023	0.0116	0.0690	0.057	0.02	7.49	1.18	0.51	2.0	0.2	6.25	0.1	0.72	0.14	0.02	0.02
2002067.500	19.01	3.02	0.056	56.1	0	13.46	0.013	0.0109	0.0689	0.058	0.02	7.60	1.23	0.53	2.0	0.2	6.17	0.1	0.72	0.14	0.02	0.02
2002068.500	16.84	5.50	0.056	42.7	0	12.62	0.008	0.0083	0.0534	0.045	0.02	7.45	1.16	0.50	2.0	0.2	5.80	0.1	0.72	0.14	0.02	0.02
2002069.500	21.97	0.10	0.056	33.9	0	14.55	0.012	0.0064	0.0385	0.032	0.02	6.99	1.11	0.47	2.0	0.2	5.07	0.1	0.72	0.14	0.02	0.02
2002070.167	23.52	0.10	0.056	30.5	0	14.55	0.016	0.0062	0.0348	0.029	0.02	6.92	1.07	0.46	2.0	0.2	5.34	0.1	0.72	0.14	0.02	0.02
2002070.500	22.28	0.10	0.056	30.3	0	14.55	0.014	0.0060	0.0342	0.028	0.02	6.75	1.06	0.45	2.0	0.2	5.67	0.1	0.72	0.14	0.02	0.02
2002071.500	19.57	0.68	0.056	25.1	0	14.32	0.015	0.0052	0.0286	0.023	0.02	6.61	1.03	0.44	2.0	0.2	5.41	0.1	0.72	0.14	0.02	0.02
2002072.500	18.17	1.41	0.056	24.5	0	14.05	0.013	0.0050	0.0279	0.023	0.02	6.45	1.01	0.43	2.0	0.2	4.51	0.1	0.72	0.14	0.02	0.02
2002073.500	15.05	1.33	0.056	18.4	0	14.08	0.009	0.0042	0.0251	0.021	0.02	6.19	0.97	0.42	2.0	0.2	3.87	0.1	0.72	0.14	0.02	0.02
2002074.500	14.10	6.33	0.056	15.9	0	12.36	0.005	0.0035	0.0222	0.019	0.02	5.95	0.89	0.38	2.0	0.2	3.26	0.1	0.72	0.14	0.02	0.02
2002075.500	13.15	0.10	0.056	15.8	0	14.55	0.007	0.0034	0.0198	0.016	0.02	5.55	0.86	0.37	2.0	0.2	2.68	0.1	0.72	0.14	0.02	0.02
2002076.500	12.68	2.70	0.056	10.8	0	13.57	0.005	0.0028	0.0173	0.014	0.02	5.11	0.80	0.34	2.0	0.2	2.25	0.1	0.72	0.14	0.02	0.02
2002077.167	17.60	4.84	0.056	22.0	0	12.84	0.004	0.0038	0.0242	0.020	0.02	4.78	0.76	0.33	2.0	0.2	2.50	0.1	0.72	0.14	0.02	0.02
2002077.500	24.20	3.64	0.056	22.4	0	13.24	0.003	0.0035	0.0229	0.019	0.02	4.64	0.74	0.32	2.0	0.2	1.61	0.1	0.72	0.14	0.02	0.02
2002078.500	22.59	2.62	0.056	17.8	0	13.60	0.005	0.0033	0.0201	0.017	0.02	4.49	0.72	0.31	2.0	0.2	1.88	0.1	0.72	0.14	0.02	0.02
2002079.500	17.09	4.57	0.056	13.9	0	12.93	0.006	0.0031	0.0185	0.015	0.02	5.02	0.79	0.34	2.0	0.2	2.07	0.1	0.72	0.14	0.02	0.02
2002080.500	14.82	2.68	0.056	19.0	0	13.58	0.006	0.0039	0.0239	0.020	0.02	4.94	0.80	0.34	2.0	0.2	2.25	0.1	0.72	0.14	0.02	0.02
2002081.500	14.44	0.10	0.056	21.3	0	14.55	0.006	0.0047	0.0297	0.025	0.02	5.32	0.85	0.36	2.0	0.2	3.16	0.1	0.72	0.14	0.02	0.02
2002082.500	14.44	0.10	0.056	16.8	0	14.55	0.008	0.0043	0.0261	0.022	0.02	5.49	0.89	0.38	2.0	0.2	3.49	0.1	0.72	0.14	0.02	0.02
2002083.500	13.88	0.10	0.056	21.8	0	14.55	0.008	0.0056	0.0351	0.029	0.02	5.39	0.87	0.37	2.0	0.2	2.84	0.1	0.72	0.14	0.02	0.02
2002084.167	12.55	0.10	0.056	19.1	0	14.55	0.005	0.0037	0.0236	0.020	0.02	5.20	0.84	0.36	2.0	0.2	2.33	0.1	0.72	0.14	0.02	0.02
2002084.500	11.89	0.10	0.056	9.3	0	14.55	0.002	0.0030	0.0197	0.017	0.02	5.14	0.80	0.34	2.0	0.2	2.91	0.1	0.72	0.14	0.02	0.02
2002085.500	12.24	0.10	0.056	7.9	0	14.55	0.000	0.0024	0.0166	0.014	0.02	4.85	0.76	0.33	2.0	0.2	2.44	0.1	0.72	0.14	0.02	0.02
2002086.500	16.84	0.10	0.056	7.0	0	14.55	0.001	0.0020	0.0136	0.012	0.02	4.94	0.76	0.33	2.0	0.2	2.69	0.1	0.72	0.14	0.02	0.02
2002089.500	428.72	1.15	0.056	474.8	0	14.14	0.008	0.0521	0.3583	0.306	0.02	7.25	1.40	0.60	2.0	0.2	6.26	0.1	0.72	0.14	0.02	0.02
2002089.833	427.87	7.12	0.056	391.1	0	12.12	0.027	0.0511	0.3414	0.290	0.02	7.34	1.39	0.60	2.0	0.2	6.32	0.1	0.72	0.14	0.02	0.02
2002090.167	390.49	5.34	0.056	367.9	0	12.67	0.024	0.0493	0.3309	0.282	0.02	7.65	1.42	0.61	2.0	0.2	6.67	0.1	0.72	0.14	0.02	0.02
2002090.500	339.60	3.60	0.056	281.1	0	13.26	0.026	0.0422	0.2800	0.238	0.02	8.06	1.41	0.61	2.0	0.2	7.18	0.1	0.72	0.14	0.02	0.02
2002090.833	305.94	6.74	0.056	228.5	0	12.23	0.013	0.0395	0.2676	0.228	0.02	8.20	1.40	0.60	2.0	0.2	7.27	0.1	0.72	0.14	0.02	0.02
2002091.167	275.41	5.54	0.056	227.6	0	12.61	0.012	0.0360	0.2440	0.208	0.02	8.18	1.42	0.61	2.0	0.2	7.00	0.1	0.72	0.14	0.02	0.02
2002091.500	244.59	1.91	0.056	184.7	0	13.86	0.027	0.0332	0.2168	0.184	0.02	8.33	1.42	0.61	2.0	0.2	7.59	0.1	0.72	0.14	0.02	0.02
2002091.833	210.92	4.91	0.056	227.6	0	12.81	0.019	0.0318	0.2113	0.179	0.02	8.67	1.47	0.63	2.0	0.2	3.49	0.1	0.72	0.14	0.02	0.02
2002092.167	172.44	5.82	0.056	146.0	0	12.52	0.025	0.0300	0.1958	0.166	0.02	8.70	1.45	0.62	2.0	0.2	2.84	0.1	0.72	0.14	0.02	0.02
2002092.500	129.80	6.24	0.056	148.7	0	12.39	0.025	0.0271	0.1758	0.149	0.02	8.63	1.40	0.60	2.0	0.2	2.33	0.1	0.72	0.14	0.02	0.02
2002093.500	143.61	1.70	0.056	153.7	0	13.94	0.030	0.0226	0.1419	0.119	0.02	8.41	1.35	0.58	2.0	0.2	2.91	0.1	0.72	0.14	0.02	0.02
2002093.833	189.42	2.50	0.056	195.8	0	13.65	0.030	0.0273	0.1751	0.148	0.02	7.84	1.30	0.56	2.0	0.2	2.44	0.1	0.72	0.14	0.02	0.02
2002094.167	192.61	2.70	0.056	286.8	0	13.57	0.034	0.0377	0.2448	0.207	0.02	7.06	1.29	0.55	2.0	0.2	2.69	0.1	0.72	0.14	0.02	0.02
2002094.500	191.81	0.10	0.056	354.5	0	14.55	0.034	0.0444	0.2913	0.247	0.02	6.82	1.30	0.56	2.0	0.2	6.26	0.1	0.72	0.14	0.02	0.02
2002094.833	194.21	0.81	0.056	396.9	0	14.28	0.034	0.0484	0.3196	0.271	0.02	6.29	1.26	0.54	2.0	0.2	6.32	0.1	0.72	0.14	0.02	0.02
2002095.167	192.61	1.20	0.056	375.7	0	14.13	0.038	0.0480	0.3141	0.266	0.02	6.27	1.22	0.52	2.0	0.2	6.67	0.1	0.72	0.14	0.02	0.02
2002095.500	189.42	0.10	0.056	289.8	0	14.55	0.038	0.0458	0.2993	0.253	0.02	6.06	1.18	0.51	2.0	0.2	7.18	0.1	0.72	0.14	0.02	0.02
2002095.833	177.01	1.30	0.056	307.3	0	14.09	0.038	0.0438	0.2853	0.241	0.02	5.80	1.12	0.48	2.0	0.2	7.27	0.1	0.72	0.14	0.02	0.02
2002096.167	154.14	0.10	0.056	245.3	0	14.55	0.042	0.0409	0.2631	0.222	0.02	5.98	1.14	0.49	2.0	0.2	7.00	0.1	0.72	0.14	0.02	0.02
2002096.500	126.28	0.10	0.056	188.2	0	14.55	0.042	0.0376	0.2400	0.202	0.02	6.29	1.17	0.50	2.0	0.2	7.59	0.1	0.72	0.14	0.02	0.02
2002096.833	96.48	1.00	0.056	191.0	0	14.20	0.042	0.0337	0.2126	0.179	0.02	6.64	1.20	0.51	2.0	0.2	7.59	0.1	0.72	0.14	0.02	0.02
2002104.500	294.52	4.70	0.056	488.4	0	12.88	0.070	0.0627	0.4000	0.337	0.02	4.27	1.02	0.44	2.0	0.2	7.21	0.1	0.72	0.14	0.02	0.02
2002104.833	296.28	8.80	0.056	426.0	0	11.62	0.071	0.0577	0.3651	0.307	0.02	4.44	1.09	0.47	2.0	0.2	7.06	0.1	0.72	0.14	0.02	0.02
2002105.167	300.67	7.70	0.056	333.8	0	11.94	0.075	0.0509	0.3155	0.265	0.02	4.44	0.97	0.42	2.0	0.2	7.00	0.1	0.72	0.14	0.02	0.02
2002105.500	287.50	8.90	0.056	345.3	0	11.60	0.070	0.0477	0.2963	0.249	0.02	4.78	0.95	0.41	2.0	0.2	7.16	0.1	0.72	0.14	0.02	0.02
2002105.833	260.22	13.62	0.056	313.6	0	10.38	0.075	0.0453	0.2770	0.232	0.02	4.81	0.95	0.41	2.0	0.2	7.28	0.1	0.72	0.14	0.02	0.02
