! West Basin - Station 974																																
! 2002101.000																																
33	data sets																															
3	number of depths																															
66	18	i,j																														
DEPTH	SALINITY	SSOL1	SSOL2	DO	PH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI
0	0.05	10.4	0	12.14	8.06	20.4	0.29	2.5	0.0051	0.0079	0.0044	0.001	0.090	0.906	0.086	0.172	0.001	1.44	0.0240	0.080	0.0240	0.1120	0.560	0.00005	0.00008	0.00002	0.00011	0.00056	0.00022	0.00032	0.00010	0.00045	0.00224	   
5	0.05	10.4	0	12.14	8.06	20.4	0.29	2.5	0.0051	0.0079	0.0044	0.001	0.090	0.906	0.086	0.172	0.001	1.44	0.0240	0.080	0.0240	0.1120	0.560	0.00005	0.00008	0.00002	0.00011	0.00056	0.00022	0.00032	0.00010	0.00045	0.00224	   
10	0.05	10.4	0	12.14	8.06	20.4	0.29	2.5	0.0051	0.0079	0.0044	0.001	0.090	0.906	0.086	0.172	0.001	1.44	0.0240	0.080	0.0240	0.1120	0.560	0.00005	0.00008	0.00002	0.00011	0.00056	0.00022	0.00032	0.00010	0.00045	0.00224	 
