! Central Basin - Station ER_43; file prepared by Serghei Bocaniov - included Temp profiles in same file by Luis Leon
! 2008112.000
34	data sets
4	number of depths
67	65	i,j
DEPTH	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI
0	3.85	0.05	5.0	0.0	14.93	8.44	21.7	0.32	2.50	0.00200	0.00121	0.00300	0.00121	0.01638	0.27300	0.01092	0.03003	0.00100	0.0094	0.453	1.511	0.453	2.116	10.578	0.00045	0.00076	0.00023	0.00106	0.00529	0.00408	0.00604	0.00181	0.00846	0.04231	   
5	3.73	0.05	5.0	0.0	14.93	8.44	21.7	0.32	2.50	0.00200	0.00121	0.00300	0.00121	0.01638	0.27300	0.01092	0.03003	0.00100	0.0094	0.453	1.511	0.453	2.116	10.578	0.00045	0.00076	0.00023	0.00106	0.00529	0.00408	0.00604	0.00181	0.00846	0.04231	   
10	3.73	0.05	5.0	0.0	14.93	8.44	21.7	0.32	2.50	0.00200	0.00121	0.00300	0.00121	0.01638	0.27300	0.01092	0.03003	0.00100	0.0094	0.453	1.511	0.453	2.116	10.578	0.00045	0.00076	0.00023	0.00106	0.00529	0.00408	0.00604	0.00181	0.00846	0.04231	   
20	3.72	0.05	5.0	0.0	14.93	8.44	21.7	0.32	2.50	0.00200	0.00121	0.00300	0.00121	0.01638	0.27300	0.01092	0.03003	0.00100	0.0094	0.453	1.511	0.453	2.116	10.578	0.00045	0.00076	0.00023	0.00106	0.00529	0.00408	0.00604	0.00181	0.00846	0.04231	 
