! East Basin - Station ER_10; file prepared by Serghei Bocaniov - included Temp profiles in same file by Luis Leon
! 2008112.000
34	data sets
5	number of depths
14	159	i,j
DEPTH	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI
0	2.08	0.05	2.0	0.0	13.50	8.14	21.42	0.26	2.50	0.00427	0.00055	0.00230	0.00100	0.01403	0.23375	0.00935	0.02571	0.00100	0.3660	0.071	0.237	0.071	0.332	1.659	0.00007	0.00012	0.00004	0.00017	0.00083	0.00064	0.00095	0.00028	0.00133	0.00664	   
5	2.08	0.05	2.0	0.0	13.50	8.14	21.42	0.26	2.50	0.00427	0.00055	0.00230	0.00100	0.01403	0.23375	0.00935	0.02571	0.00100	0.3660	0.071	0.237	0.071	0.332	1.659	0.00007	0.00012	0.00004	0.00017	0.00083	0.00064	0.00095	0.00028	0.00133	0.00664	   
10	2.07	0.05	2.0	0.0	13.50	8.14	21.42	0.26	2.50	0.00427	0.00055	0.00230	0.00100	0.01403	0.23375	0.00935	0.02571	0.00100	0.3660	0.071	0.237	0.071	0.332	1.659	0.00007	0.00012	0.00004	0.00017	0.00083	0.00064	0.00095	0.00028	0.00133	0.00664	   
20	2.10	0.05	2.0	0.0	13.50	8.14	21.42	0.26	2.50	0.00427	0.00055	0.00230	0.00100	0.01403	0.23375	0.00935	0.02571	0.00100	0.3660	0.071	0.237	0.071	0.332	1.659	0.00007	0.00012	0.00004	0.00017	0.00083	0.00064	0.00095	0.00028	0.00133	0.00664	   
30	2.15	0.05	2.0	0.0	13.50	8.14	21.42	0.26	2.50	0.00427	0.00055	0.00230	0.00100	0.01403	0.23375	0.00935	0.02571	0.00100	0.3660	0.071	0.237	0.071	0.332	1.659	0.00007	0.00012	0.00004	0.00017	0.00083	0.00064	0.00095	0.00028	0.00133	0.00664	 
