! West-Central Basin - Station 965
! 2002101.000
33	data sets
3	number of depths
79	42	i,j
DEPTH	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI
0	0.05	8	0	13.18	8.3	21.6	0.654	2.5	0.01435	0.003075	0.003075	0.001	0.031	1.11	0.07255	0.07255	0.001	2.12	0.016	0.08	0.016	0.112	0.576	0.00000	0.00002	0.00000	0.00002	0.00012	0.0000	0.0002	0.0000	0.0003	0.0017
5	0.05	8	0	13.18	8.3	21.6	0.654	2.5	0.01435	0.003075	0.003075	0.001	0.031	1.11	0.07255	0.07255	0.001	2.12	0.016	0.08	0.016	0.112	0.576	0.00000	0.00002	0.00000	0.00002	0.00012	0.0000	0.0002	0.0000	0.0003	0.0017
10	0.05	8	0	13.18	8.3	21.6	0.654	2.5	0.01435	0.003075	0.003075	0.001	0.031	1.11	0.07255	0.07255	0.001	2.12	0.016	0.08	0.016	0.112	0.576	0.00000	0.00002	0.00000	0.00002	0.00012	0.0000	0.0002	0.0000	0.0003	0.0017
