!-----------------------------------------------------																				
!Lake Erie 2002-14																		
!Inflow	(Maumee	River)																		
!File prepared by LL																	
!-----------------------------------------------------																				
22	data	sets																			
0	seconds	between	data																		
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
DAY	INFLOW	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	PO4	DOPL	POPL	PIP	NH4	NO3	DONL	PONL	DOCL	POCL	SiO2	FDIAT	MDIAT	CRYPT	CHLOR	CYANO
2002001.833	48.27	0.10	0.068	14.846	0.000	14.551	0.082	0.006	0.032	0.026	0.020	6.56	1.063	0.455	2.000	0.200	7.589	0.100	0.720	0.140	0.020	0.020
2002002.500	53.54	0.10	0.068	16.209	0.000	14.551	0.064	0.005	0.035	0.030	0.020	5.08	0.832	0.357	2.000	0.200	5.944	0.100	0.720	0.140	0.020	0.020
2002003.500	57.63	0.10	0.068	13.471	0.000	14.551	0.062	0.004	0.034	0.030	0.020	5.38	0.874	0.375	2.000	0.200	6.242	0.100	0.720	0.140	0.020	0.020
2002004.500	59.09	0.10	0.068	15.672	0.000	14.551	0.060	0.004	0.033	0.029	0.020	5.60	0.924	0.396	2.000	0.200	6.600	0.100	0.720	0.140	0.020	0.020
2002005.500	54.22	0.10	0.068	11.286	0.000	14.551	0.058	0.004	0.029	0.025	0.020	5.50	0.899	0.385	2.000	0.200	6.424	0.100	0.720	0.140	0.020	0.020
2002006.500	40.91	0.10	0.068	9.463	0.000	14.551	0.056	0.004	0.027	0.023	0.020	5.47	0.887	0.380	2.000	0.200	6.338	0.100	0.720	0.140	0.020	0.020
2002007.167	41.50	0.10	0.068	8.946	0.000	14.551	0.055	0.004	0.026	0.022	0.020	2.33	0.449	0.192	2.000	0.200	3.208	0.100	0.720	0.140	0.020	0.020
2002007.500	42.10	0.10	0.068	8.295	0.000	14.551	0.047	0.003	0.029	0.026	0.020	5.43	0.879	0.377	2.000	0.200	6.281	0.100	0.720	0.140	0.020	0.020
2002008.500	48.27	0.10	0.068	7.911	0.000	14.551	0.046	0.003	0.028	0.024	0.020	5.29	0.861	0.369	2.000	0.200	6.147	0.100	0.720	0.140	0.020	0.020
2002009.500	35.28	2.21	0.068	7.249	0.000	13.750	0.029	0.002	0.035	0.033	0.020	5.09	0.828	0.355	2.000	0.200	5.913	0.100	0.720	0.140	0.020	0.020
2002010.500	39.14	0.72	0.068	6.842	0.000	14.309	0.036	0.003	0.030	0.027	0.020	5.13	0.835	0.358	2.000	0.200	5.965	0.100	0.720	0.140	0.020	0.020
2002011.500	35.83	0.10	0.068	6.207	0.000	14.551	0.041	0.003	0.029	0.026	0.020	5.15	0.846	0.363	2.000	0.200	6.044	0.100	0.720	0.140	0.020	0.020
2002012.500	34.19	0.10	0.068	5.648	0.000	14.551	0.038	0.003	0.028	0.025	0.020	4.70	0.777	0.333	2.000	0.200	5.547	0.100	0.720	0.140	0.020	0.020
2002013.500	35.28	0.10	0.068	5.279	0.000	14.551	0.040	0.003	0.027	0.025	0.020	4.74	0.798	0.342	2.000	0.200	5.702	0.100	0.720	0.140	0.020	0.020
2002014.167	35.28	0.12	0.068	4.074	0.000	14.543	0.042	0.003	0.029	0.026	0.020	4.53	0.769	0.329	2.000	0.200	5.490	0.100	0.720	0.140	0.020	0.020
2002014.500	38.00	0.10	0.068	3.944	0.000	14.551	0.065	0.005	0.015	0.011	0.020	4.51	0.752	0.322	2.000	0.200	5.368	0.100	0.720	0.140	0.020	0.020
2002015.500	38.54	0.87	0.068	4.905	0.000	14.251	0.052	0.004	0.017	0.014	0.020	4.24	0.711	0.305	2.000	0.200	5.077	0.100	0.720	0.140	0.020	0.020
2002016.500	38.54	0.10	0.068	5.424	0.000	14.551	0.050	0.004	0.018	0.014	0.020	4.30	0.730	0.313	2.000	0.200	5.213	0.100	0.720	0.140	0.020	0.020
2002017.500	37.46	0.10	0.068	5.181	0.000	14.551	0.045	0.003	0.018	0.015	0.020	4.13	0.688	0.295	2.000	0.200	4.915	0.100	0.720	0.140	0.020	0.020
2002018.500	36.37	0.10	0.068	4.054	0.000	14.551	0.044	0.003	0.018	0.015	0.020	4.21	0.707	0.303	2.000	0.200	5.052	0.100	0.720	0.140	0.020	0.020
2002019.500	40.91	0.10	0.068	3.469	0.000	14.551	0.047	0.003	0.020	0.016	0.020	4.32	0.722	0.309	2.000	0.200	5.158	0.100	0.720	0.140	0.020	0.020
2002020.167	49.54	0.10	0.068	3.161	0.000	14.551	0.034	0.002	0.023	0.020	0.020	4.20	0.715	0.307	2.000	0.200	5.109	0.100	0.720	0.140	0.020	0.020
2002021.167	32.61	0.10	0.068	3.985	0.000	14.551	0.043	0.003	0.019	0.015	0.020	4.27	0.713	0.306	2.000	0.200	5.096	0.100	0.720	0.140	0.020	0.020
2002021.500	32.11	0.10	0.068	4.331	0.000	14.551	0.038	0.003	0.017	0.014	0.020	4.24	0.698	0.299	2.000	0.200	4.983	0.100	0.720	0.140	0.020	0.020
2002022.500	33.65	0.10	0.068	4.087	0.000	14.551	0.033	0.002	0.018	0.016	0.020	4.15	0.679	0.291	2.000	0.200	4.851	0.100	0.720	0.140	0.020	0.020
2002023.500	28.62	2.55	0.068	5.667	0.000	13.627	0.025	0.002	0.022	0.020	0.020	4.17	0.693	0.297	2.000	0.200	4.950	0.100	0.720	0.140	0.020	0.020
2002024.500	30.61	0.37	0.068	6.838	0.000	14.445	0.023	0.002	0.024	0.022	0.020	4.05	0.674	0.289	2.000	0.200	4.813	0.100	0.720	0.140	0.020	0.020
2002025.500	31.61	0.10	0.068	9.136	0.000	14.551	0.024	0.002	0.026	0.024	0.020	4.01	0.658	0.282	2.000	0.200	4.697	0.100	0.720	0.140	0.020	0.020
2002026.500	31.61	0.46	0.068	11.414	0.000	14.410	0.020	0.001	0.028	0.027	0.020	4.04	0.690	0.296	2.000	0.200	4.931	0.100	0.720	0.140	0.020	0.020
2002027.500	35.28	0.10	0.068	27.170	0.000	14.551	0.017	0.001	0.036	0.035	0.020	4.00	0.680	0.292	2.000	0.200	4.859	0.100	0.720	0.140	0.020	0.020
2002028.167	32.11	2.00	0.068	10.310	0.000	13.827	0.007	0.001	0.033	0.033	0.020	4.08	0.683	0.293	2.000	0.200	4.880	0.100	0.720	0.140	0.020	0.020
2002028.500	31.11	0.51	0.068	7.959	0.000	14.390	0.011	0.001	0.031	0.030	0.020	4.09	0.673	0.289	2.000	0.200	4.809	0.100	0.720	0.140	0.020	0.020
2002029.500	38.00	2.04	0.068	10.721	0.000	13.813	0.006	0.000	0.036	0.036	0.020	3.91	0.663	0.284	2.000	0.200	4.733	0.100	0.720	0.140	0.020	0.020
2002030.500	50.81	0.10	0.068	36.240	0.000	14.551	0.005	0.000	0.052	0.051	0.020	4.53	0.733	0.314	2.000	0.200	5.238	0.100	0.720	0.140	0.020	0.020
2002030.833	150.47	0.10	0.068	139.480	0.000	14.551	0.011	0.001	0.097	0.097	0.020	6.56	1.113	0.477	2.000	0.200	7.951	0.100	0.720	0.140	0.020	0.020
2002031.167	304.33	0.10	0.068	218.750	0.000	14.551	0.029	0.002	0.136	0.134	0.020	7.95	1.326	0.568	2.000	0.200	9.474	0.100	0.720	0.140	0.020	0.020
2002031.500	496.18	0.10	0.068	293.010	0.000	14.551	0.034	0.002	0.170	0.168	0.020	7.83	1.319	0.565	2.000	0.200	9.423	0.100	0.720	0.140	0.020	0.020
2002031.833	788.33	0.10	0.068	344.440	0.000	14.551	0.051	0.004	0.193	0.189	0.020	7.90	1.375	0.589	2.000	0.200	9.822	0.100	0.720	0.140	0.020	0.020
2002032.167	1002.32	0.22	0.068	386.340	0.000	14.505	0.068	0.005	0.230	0.225	0.020	7.73	1.401	0.600	2.000	0.200	10.006	0.100	0.720	0.140	0.020	0.020
2002032.500	1217.16	1.87	0.068	386.500	0.000	13.875	0.076	0.005	0.246	0.241	0.020	7.58	1.760	0.754	2.000	0.200	12.569	0.100	0.720	0.140	0.020	0.020
2002032.833	1329.26	0.10	0.068	336.300	0.000	14.551	0.077	0.006	0.231	0.225	0.020	7.05	1.603	0.687	2.000	0.200	11.448	0.100	0.720	0.140	0.020	0.020
2002033.167	1384.34	0.10	0.068	312.110	0.000	14.551	0.082	0.006	0.233	0.227	0.020	6.71	1.562	0.669	2.000	0.200	11.156	0.100	0.720	0.140	0.020	0.020
2002033.500	1418.86	0.10	0.068	289.090	0.000	14.551	0.085	0.006	0.227	0.221	0.020	6.44	1.500	0.643	2.000	0.200	10.712	0.100	0.720	0.140	0.020	0.020
2002033.833	1342.20	0.10	0.068	295.480	0.000	14.551	0.077	0.006	0.225	0.220	0.020	6.43	1.455	0.623	2.000	0.200	10.390	0.100	0.720	0.140	0.020	0.020
2002034.167	1290.60	0.10	0.068	257.650	0.000	14.551	0.082	0.006	0.220	0.214	0.020	6.11	1.394	0.597	2.000	0.200	9.954	0.100	0.720	0.140	0.020	0.020
2002034.500	1262.53	0.10	0.068	267.040	0.000	14.551	0.084	0.006	0.219	0.213	0.020	6.03	1.389	0.595	2.000	0.200	9.922	0.100	0.720	0.140	0.020	0.020
2002034.833	1202.27	0.10	0.068	247.120	0.000	14.551	0.087	0.006	0.218	0.212	0.020	6.15	1.452	0.622	2.000	0.200	10.374	0.100	0.720	0.140	0.020	0.020
