! Easts Basin - Station 934
! 2002101.000
33	data sets
5	number of depths
13	168	i,j
DEPTH	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI
0	0.05	2	0	13.42	8.4	22.8	0.28	2.5	0.008085	0.0017325	0.0017325	0.001	0.019	0.305	0.06785	0.06785	0.001	0.96	0.014	0.07	0.014	0.098	0.504	0.00000	0.00001	0.00000	0.00002	0.00010	0.0000	0.0002	0.0000	0.0003	0.0015
5	0.05	2	0	13.42	8.4	22.8	0.28	2.5	0.008085	0.0017325	0.0017325	0.001	0.019	0.305	0.06785	0.06785	0.001	0.96	0.014	0.07	0.014	0.098	0.504	0.00000	0.00001	0.00000	0.00002	0.00010	0.0000	0.0002	0.0000	0.0003	0.0015
10	0.05	2	0	13.42	8.4	22.8	0.28	2.5	0.008085	0.0017325	0.0017325	0.001	0.019	0.305	0.06785	0.06785	0.001	0.96	0.014	0.07	0.014	0.098	0.504	0.00000	0.00001	0.00000	0.00002	0.00010	0.0000	0.0002	0.0000	0.0003	0.0015
15	0.05	2	0	13.42	8.4	22.8	0.28	2.5	0.008085	0.0017325	0.0017325	0.001	0.019	0.305	0.06785	0.06785	0.001	0.96	0.014	0.07	0.014	0.098	0.504	0.00000	0.00001	0.00000	0.00002	0.00010	0.0000	0.0002	0.0000	0.0003	0.0015
30	0.05	2	0	13.42	8.4	22.8	0.28	2.5	0.008085	0.0017325	0.0017325	0.001	0.019	0.305	0.06785	0.06785	0.001	0.96	0.014	0.07	0.014	0.098	0.504	0.00000	0.00001	0.00000	0.00002	0.00010	0.0000	0.0002	0.0000	0.0003	0.0015
