! Central Basin - Station 962
! 2002101.000
33	data sets
4	number of depths
68	56	i,j
DEPTH	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI
0	0.05	5	0	13.41	8.2	20.4	0.41	2.5	0.01526	0.00327	0.00327	0.001	0.035	1.08	0.0767	0.0767	0.001	2.24	0.014	0.07	0.014	0.098	0.504	0.00000	0.00001	0.00000	0.00002	0.00010	0.0000	0.0002	0.0000	0.0003	0.0015
5	0.05	5	0	13.41	8.2	20.4	0.41	2.5	0.01526	0.00327	0.00327	0.001	0.035	1.08	0.0767	0.0767	0.001	2.24	0.014	0.07	0.014	0.098	0.504	0.00000	0.00001	0.00000	0.00002	0.00010	0.0000	0.0002	0.0000	0.0003	0.0015
10	0.05	5	0	13.41	8.2	20.4	0.41	2.5	0.01526	0.00327	0.00327	0.001	0.035	1.08	0.0767	0.0767	0.001	2.24	0.014	0.07	0.014	0.098	0.504	0.00000	0.00001	0.00000	0.00002	0.00010	0.0000	0.0002	0.0000	0.0003	0.0015
20	0.05	5	0	13.41	8.2	20.4	0.41	2.5	0.01526	0.00327	0.00327	0.001	0.035	1.08	0.0767	0.0767	0.001	2.24	0.014	0.07	0.014	0.098	0.504	0.00000	0.00001	0.00000	0.00002	0.00010	0.0000	0.0002	0.0000	0.0003	0.0015
