! Easts Basin - Station 886
! 2002101.000
33	data sets
5	number of depths
22	164	i,j
DEPTH	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI
0	0.05	2	0	13.72	8.3	21.6	0.302	2.5	0.00854	0.00183	0.00183	0.001	0.016	0.284	0.06785	0.06785	0.001	0.87	0.006	0.03	0.006	0.042	0.216	0.00000	0.00001	0.00000	0.00001	0.00004	0.0000	0.0001	0.0000	0.0001	0.0006
5	0.05	2	0	13.72	8.3	21.6	0.302	2.5	0.00854	0.00183	0.00183	0.001	0.016	0.284	0.06785	0.06785	0.001	0.87	0.006	0.03	0.006	0.042	0.216	0.00000	0.00001	0.00000	0.00001	0.00004	0.0000	0.0001	0.0000	0.0001	0.0006
10	0.05	2	0	13.72	8.3	21.6	0.302	2.5	0.00854	0.00183	0.00183	0.001	0.016	0.284	0.06785	0.06785	0.001	0.87	0.006	0.03	0.006	0.042	0.216	0.00000	0.00001	0.00000	0.00001	0.00004	0.0000	0.0001	0.0000	0.0001	0.0006
20	0.05	2	0	13.72	8.3	21.6	0.302	2.5	0.00854	0.00183	0.00183	0.001	0.016	0.284	0.06785	0.06785	0.001	0.87	0.006	0.03	0.006	0.042	0.216	0.00000	0.00001	0.00000	0.00001	0.00004	0.0000	0.0001	0.0000	0.0001	0.0006
40	0.05	2	0	13.72	8.3	21.6	0.302	2.5	0.00854	0.00183	0.00183	0.001	0.016	0.284	0.06785	0.06785	0.001	0.87	0.006	0.03	0.006	0.042	0.216	0.00000	0.00001	0.00000	0.00001	0.00004	0.0000	0.0001	0.0000	0.0001	0.0006
