! West Basin - Station ER_59; file prepared by Serghei Bocaniov - included Temp profiles in same file by Luis Leon
! 2008112.000																																
34	data sets																															
3	number of depths																															
67	13	i,j																														
DEPTH	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	PH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI
0	9.84	0.05	10.0	0.0	11.67	8.13	20.76	0.34	3.50	0.00410	0.00278	0.00410	0.00278	0.04140	0.69000	0.02760	0.07590	0.00100	0.9080	0.106	0.352	0.106	0.493	2.467	0.00011	0.00018	0.00005	0.00025	0.00123	0.00095	0.00141	0.00042	0.00197	0.00987	   
3	9.65	0.05	10.0	0.0	11.67	8.13	20.76	0.34	3.50	0.00410	0.00278	0.00410	0.00278	0.04140	0.69000	0.02760	0.07590	0.00100	0.9080	0.106	0.352	0.106	0.493	2.467	0.00011	0.00018	0.00005	0.00025	0.00123	0.00095	0.00141	0.00042	0.00197	0.00987	   
5	8.95	0.05	10.0	0.0	11.67	8.13	20.76	0.34	3.50	0.00410	0.00278	0.00410	0.00278	0.04140	0.69000	0.02760	0.07590	0.00100	0.9080	0.106	0.352	0.106	0.493	2.467	0.00011	0.00018	0.00005	0.00025	0.00123	0.00095	0.00141	0.00042	0.00197	0.00987	 
