! West Basin - Station 970
! 2002101.000
33	data sets
3	number of depths
61	23	i,j
DEPTH	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI
0	0.05	7.7	0	12.67	8.2	20.4	0.341	2.5	0.0051	0.0079	0.0044	0.001	0.013	0.906	0.086	0.172	0.001	1.09	0.027	0.09	0.027	0.126	0.63	0.00005	0.00009	0.00003	0.00013	0.00063	0.00024	0.00036	0.00011	0.00050	0.00252	   
5	0.05	7.7	0	12.67	8.2	20.4	0.341	2.5	0.0051	0.0079	0.0044	0.001	0.013	0.906	0.086	0.172	0.001	1.09	0.027	0.09	0.027	0.126	0.63	0.00005	0.00009	0.00003	0.00013	0.00063	0.00024	0.00036	0.00011	0.00050	0.00252	   
10	0.05	7.7	0	12.67	8.2	20.4	0.341	2.5	0.0051	0.0079	0.0044	0.001	0.013	0.906	0.086	0.172	0.001	1.09	0.027	0.09	0.027	0.126	0.63	0.00005	0.00009	0.00003	0.00013	0.00063	0.00024	0.00036	0.00011	0.00050	0.00252	 
