BC Name,X,Y,Lon,Lat
2002-14_flwo_Nia_v02,672609.00,4747642.00,-78.88708,42.86188
2002-14_flwi_Det_v02,321970.00,4658195.00,-83.15149,42.05565
2002-14_flwi_Gra_ON-WQ_v02,616680.00,4744330.00,-79.57214,42.84265
2002-14_flwi_Mau-WQ_v02,304206.72,4618817.56,-83.35295,41.69706
2002-14_flwi_Snd-WQ_v02,362406.72,4590617.56,-82.64740,41.45536
2002-14_flwi_Cuy-WQ_v02,438120.00,4594766.00,-81.74143,41.50213
