TIME,NS1_FLOW [m^3 s^-1],NS1_SALT_FLUX [psu m^3 s^-1],NS1_TEMP_FLUX [degrees celsius m^3 s^-1],NS1_TRACE_1_FLUX [units m^3 s^-1],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS1_ [],NS2_FLOW [m^3 s^-1],NS2_SALT_FLUX [psu m^3 s^-1],NS2_TEMP_FLUX [degrees celsius m^3 s^-1],NS2_TRACE_1_FLUX [units m^3 s^-1],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ [],NS2_ []
28/05/2013 00:00:00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
28/05/2013 02:00:00, -0.4143522E+04, -0.1644908E+03, -0.1024761E+05,  0.0000000E+00, -0.3976552E+02, -0.2610328E+08, -0.1545928E+07, -0.1011502E+07, -0.7475865E+05, -0.1815088E+07, -0.1734874E+05, -0.1734321E+04, -0.3556550E+07, -0.2415466E+06, -0.1610226E+06, -0.2365166E+05, -0.4366167E+03, -0.1682718E+05, -0.8287148E+03, -0.7559761E+04, -0.8288098E+03, -0.6894312E+04, -0.4404166E+05, -0.8289429E+03, -0.2566324E+01,  0.0000000E+00,  0.4780552E+04,  0.8126936E+02,  0.8047216E+05,  0.0000000E+00,  0.2108232E+05,  0.0000000E+00,  0.9025363E+06,  0.4509494E+05,  0.8973466E+04,  0.2230690E+06,  0.8804160E+03,  0.8804159E+02,  0.6938108E+06,  0.7967745E+05,  0.4128896E+05,  0.1769128E+05,  0.6214717E+02,  0.4003745E+03,  0.2788496E+05,  0.2788496E+05,  0.1912220E+06,  0.1354473E+06,  0.9760309E+06,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
28/05/2013 04:00:00, -0.4165761E+04, -0.1653707E+03, -0.1026534E+05,  0.0000000E+00, -0.6372401E+02, -0.5623599E+08, -0.1553957E+07, -0.1016908E+07, -0.7502325E+05, -0.1958561E+07, -0.1917077E+05, -0.1427100E+02, -0.3575814E+07, -0.2426700E+06, -0.1619104E+06, -0.2374957E+05, -0.4493433E+03, -0.1690143E+05, -0.8331865E+03, -0.7559534E+04, -0.8337559E+03, -0.6930980E+04, -0.4416059E+05, -0.8336780E+03, -0.2580106E+01,  0.0000000E+00,  0.4804132E+04,  0.8167023E+02,  0.8102924E+05,  0.0000000E+00,  0.2115269E+05,  0.0000000E+00,  0.9069468E+06,  0.4531738E+05,  0.9027737E+04,  0.2238119E+06,  0.8855594E+03,  0.8855593E+02,  0.6972332E+06,  0.8007046E+05,  0.4144377E+05,  0.1775773E+05,  0.6245371E+02,  0.4011483E+03,  0.2802250E+05,  0.2802250E+05,  0.1921653E+06,  0.1361155E+06,  0.9808452E+06,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
28/05/2013 06:00:00, -0.4188025E+04, -0.1662525E+03, -0.1029181E+05,  0.0000000E+00, -0.1616760E+03, -0.8668890E+08, -0.1561667E+07, -0.1022317E+07, -0.7528780E+05, -0.2353722E+07, -0.1927291E+05, -0.1406371E+02, -0.3595092E+07, -0.2436414E+06, -0.1627982E+06, -0.2383230E+05, -0.4622802E+03, -0.1696477E+05, -0.8376326E+03, -0.7553705E+04, -0.8385917E+03, -0.6971537E+04, -0.4429127E+05, -0.8382809E+03, -0.2593892E+01,  0.0000000E+00,  0.4827717E+04,  0.8207121E+02,  0.8158798E+05,  0.0000000E+00,  0.2122274E+05,  0.0000000E+00,  0.9113574E+06,  0.4553986E+05,  0.9082117E+04,  0.2245514E+06,  0.8907117E+03,  0.8907116E+02,  0.7006562E+06,  0.8046359E+05,  0.4159816E+05,  0.1782399E+05,  0.6276032E+02,  0.4019108E+03,  0.2816008E+05,  0.2816008E+05,  0.1931087E+06,  0.1367837E+06,  0.9856608E+06,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
