! East Basin - Station ER_63; file prepared by Michael Markowiak
! 2012099.000																																			
34	data sets																																		
6	number of depths																																		
29	155	"i,j"																																	
DEPTH	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI	
0	4.10	0.05	2	0	12.74948333	7.82	21.84	0.26	2.5	0.00539175	0.000685627	0.00290325	0.000685627	0.01418	0.23625	0.00945	0.02599	0.001	0.3755	0.02416	0.080533333	0.02416	0.112746667	0.563733333	0.00002416	4.02667E-05	0.00001208	5.63733E-05	0.000281867	0.00047	0.00069	0.00021	0.00097	0.00485
5	4.10	0.05	2	0	12.74948333	7.82	21.84	0.26	2.5	0.00539175	0.000685627	0.00290325	0.000685627	0.01418	0.23625	0.00945	0.02599	0.001	0.3755	0.02416	0.080533333	0.02416	0.112746667	0.563733333	0.00002416	4.02667E-05	0.00001208	5.63733E-05	0.000281867	0.00047	0.00069	0.00021	0.00097	0.00485
10	4.10	0.05	2	0	12.74948333	7.82	21.84	0.26	2.5	0.00539175	0.000685627	0.00290325	0.000685627	0.01418	0.23625	0.00945	0.02599	0.001	0.3755	0.02416	0.080533333	0.02416	0.112746667	0.563733333	0.00002416	4.02667E-05	0.00001208	5.63733E-05	0.000281867	0.00047	0.00069	0.00021	0.00097	0.00485
20	4.10	0.05	2	0	12.74948333	7.82	21.84	0.26	2.5	0.00539175	0.000685627	0.00290325	0.000685627	0.01418	0.23625	0.00945	0.02599	0.001	0.3755	0.02416	0.080533333	0.02416	0.112746667	0.563733333	0.00002416	4.02667E-05	0.00001208	5.63733E-05	0.000281867	0.00047	0.00069	0.00021	0.00097	0.00485
30	4.10	0.05	2	0	12.74948333	7.82	21.84	0.26	2.5	0.00539175	0.000685627	0.00290325	0.000685627	0.01418	0.23625	0.00945	0.02599	0.001	0.3755	0.02416	0.080533333	0.02416	0.112746667	0.563733333	0.00002416	4.02667E-05	0.00001208	5.63733E-05	0.000281867	0.00047	0.00069	0.00021	0.00097	0.00485
40	4.10	0.05	2	0	12.74948333	7.82	21.84	0.26	2.5	0.00539175	0.000685627	0.00290325	0.000685627	0.01418	0.23625	0.00945	0.02599	0.001	0.3755	0.02416	0.080533333	0.02416	0.112746667	0.563733333	0.00002416	4.02667E-05	0.00001208	5.63733E-05	0.000281867	0.00047	0.00069	0.00021	0.00097	0.00485
