! Central Basin - Station ER_38; file prepared by Michael Markowiak
! 2012099.000																																			
34	data sets																																		
4	number of depths																																		
38	77	"i,j"																																	
DEPTH	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI	
0	5.12	0.05	5.0	0.0	12.834555	7.82	22.52	0.32	2.5	0.002054533	0	0.0030818	0	0.00884	0.14733	0.00589	0.01621	0.001	0.04	0.093813333	0.312711111	0.093813333	0.437795556	2.188977778	9.38133E-05	0.000156356	4.69067E-05	0.000218898	0.001094489	0.00054	0.00081	0.00024	0.00113	0.00565
5	5.12	0.05	5.0	0.0	12.834555	7.82	22.52	0.32	2.5	0.002054533	0	0.0030818	0	0.00884	0.14733	0.00589	0.01621	0.001	0.04	0.093813333	0.312711111	0.093813333	0.437795556	2.188977778	9.38133E-05	0.000156356	4.69067E-05	0.000218898	0.001094489	0.00054	0.00081	0.00024	0.00113	0.00565
10	5.12	0.05	5.0	0.0	12.834555	7.82	22.52	0.32	2.5	0.002054533	0	0.0030818	0	0.00884	0.14733	0.00589	0.01621	0.001	0.04	0.093813333	0.312711111	0.093813333	0.437795556	2.188977778	9.38133E-05	0.000156356	4.69067E-05	0.000218898	0.001094489	0.00054	0.00081	0.00024	0.00113	0.00565
20	5.12	0.05	5.0	0.0	12.834555	7.82	22.52	0.32	2.5	0.002054533	0	0.0030818	0	0.00884	0.14733	0.00589	0.01621	0.001	0.04	0.093813333	0.312711111	0.093813333	0.437795556	2.188977778	9.38133E-05	0.000156356	4.69067E-05	0.000218898	0.001094489	0.00054	0.00081	0.00024	0.00113	0.00565
