X,Y,ID
-79.6172944,42.53839693,1
-79.69270115,42.67990313,2
-79.89350171,42.5160012,3
-79.79933278,42.4165032,4
-81.20500253,42.43016408,5
-81.10650019,42.25349862,6
-81.01183639,42.0821646,7
-81.47833613,41.93499988,8
-81.57499709,42.1111666,9
-81.67132735,42.28166403,10
-82.04199517,41.96599742,11
-81.94517013,41.78916881,12
-81.75699738,41.97749831,13
-81.2491701,42.1164977,14
-82.49579958,41.68359576,15
-83.15019489,41.72699881,16
-83.19709467,41.89179868,17
-83.04517224,41.94649957,18
-82.91633377,41.840999,19
-82.68650208,41.9497995,20
