DEPTH,SAL,TEMP,SSOL1,SSOL2,DO,pH,DIC,POC,DOC,PO4,POP,DOP,PIP,NH4,NO3,PON,DON,PIN,SiO2,CHLOR,FDIAT,CYANO,CRYPT,MDIAT,IP_CHL,IP_FDI,IP_CYA,IP_CRY,IP_MDI,IN_CHL,IN_FDI,IN_CYA,IN_CRY,IN_MDI
 0.00000,   0.050,   4.090,   5.000,   0.000, 226.875,   8.320,1826.667,  26.667, 208.333,   0.084,   0.064,   0.126,   0.064,   0.860,  14.334,   0.574,   1.576,   0.071,   1.522,  36.083, 120.250,  36.083, 168.417, 841.917,   0.014,   0.023,   0.007,   0.033,   0.163,   0.279,   0.412,   0.124,   0.577,   2.886
 5.00000,   0.050,   3.860,   5.000,   0.000, 226.875,   8.320,1826.667,  26.667, 208.333,   0.084,   0.064,   0.126,   0.064,   0.860,  14.334,   0.574,   1.576,   0.071,   1.522,  36.083, 120.250,  36.083, 168.417, 841.917,   0.014,   0.023,   0.007,   0.033,   0.163,   0.279,   0.412,   0.124,   0.577,   2.886
10.00000,   0.050,   3.750,   5.000,   0.000, 226.875,   8.320,1826.667,  26.667, 208.333,   0.084,   0.064,   0.126,   0.064,   0.860,  14.334,   0.574,   1.576,   0.071,   1.522,  36.083, 120.250,  36.083, 168.417, 841.917,   0.014,   0.023,   0.007,   0.033,   0.163,   0.279,   0.412,   0.124,   0.577,   2.886
20.00000,   0.050,   3.760,   5.000,   0.000, 226.875,   8.320,1826.667,  26.667, 208.333,   0.084,   0.064,   0.126,   0.064,   0.860,  14.334,   0.574,   1.576,   0.071,   1.522,  36.083, 120.250,  36.083, 168.417, 841.917,   0.014,   0.023,   0.007,   0.033,   0.163,   0.279,   0.412,   0.124,   0.577,   2.886
