Z
-1.25
-2.00
-2.85
-3.80
-4.80
-5.80
-6.80
-7.80
-8.80
-9.80
-10.80
-11.80
-12.80
-13.80
-14.80
-15.80
-16.80
-17.80
-18.80
-19.80
-20.80
-21.80
-22.80
-23.85
-25.05
-26.30
-27.70
-29.70
-32.70
-37.70
-42.70
-47.70
-52.70
-58.20
-64.20
