ID,BIV_zebra
1,3000.5
2,2982
3,2833.7
4,2875.8
5,2807.4
6,2996.8
7,2780.6
8,2748.3
9,2756.7
10,2982
11,2982.4
12,2911.2
13,2995.4
14,2829.5
15,2875.8
16,2996.8
17,3037.6
18,3030.8
19,3007.8
20,2577.4
21,3066
22,3154.1
23,3105.9
24,2995.4
25,2860.8
26,2890.7
27,2890.7
28,3056.3
29,3074.1
30,3037.6
31,3150.1
32,3148.4
33,2793.3
34,2788.7
35,2892.8
36,1974.8
37,3091.1
38,3155.8
39,3056.3
40,3074.1
41,2856.8
42,2683.2
43,2972
44,2931.5
45,2931.5
46,3255.6
47,3117.9
48,3202.7
49,3163.2
50,1588.6
51,2251.3
52,1224.3
53,777.6
54,750.5
55,3166.7
56,3215.2
57,3235.6
58,2652.4
59,3200.1
60,2917.9
61,2651.2
62,3009.7
63,2869.2
64,3184
65,3085.7
66,3111.3
67,1613.6
68,3036.8
69,2894.2
70,3190.6
71,1568.9
72,2545.7
73,784.5
74,766.2
75,1030.9
76,816.7
77,1484.3
78,2605.5
79,2545.7
80,2416.2
81,835.1
82,1524
83,3113.6
84,793.7
85,1613.6
86,2333.4
87,2557
88,2965.2
89,3184
90,3243.6
91,3202.3
92,3028.3
93,3204.2
94,1400
95,832.7
96,2461.6
97,1657
98,784.5
99,767.5
100,803.7
101,1701.3
102,835.1
103,826.7
104,826.7
105,811.6
106,2270.5
107,2530.3
108,836.3
109,839.7
110,793.7
111,832.7
112,863.6
113,2364.1
114,2593.3
115,3305.2
116,3374.3
117,3271.7
118,2935.1
119,3174.4
120,2472.6
121,2675.3
122,3174.4
123,3306.2
124,835.7
125,1469.2
126,813.5
127,806.8
128,806.8
129,780.5
130,809.2
131,796.6
132,1013.2
133,2139
134,825.9
135,810
136,834.8
137,799.1
138,2547.8
139,836.7
140,847.8
141,865
142,861.1
143,860.9
144,2395
145,3445.9
146,3313.4
147,860.3
148,2796.3
149,3039.7
150,2653.8
151,2469.9
152,2415.5
153,3245.5
154,3522.6
155,3528.9
156,860
157,817.5
158,820.3
159,767.3
160,797.4
161,799.1
162,767.5
163,784.7
164,758.4
165,2139
166,1877.2
167,2524.9
168,831.6
169,818.1
170,838.9
171,875.1
172,874.7
173,866.5
174,895.9
175,3478.2
176,3527.5
177,2029.9
178,932.7
179,2653.9
180,2977
181,2545.5
182,2562.4
183,3518.8
184,2607.4
185,3563.3
186,3618.8
187,3518.8
188,3567.6
189,798.2
190,788.5
191,795.6
192,825.1
193,779.5
194,776.2
195,754.2
196,802
197,771
198,845.9
199,823.6
200,811.9
201,1966.7
202,2592
203,2524.9
204,840.2
205,861.4
206,897.2
207,878.7
208,866.1
209,908.5
210,917
211,903.1
212,3684.6
213,3639.8
214,2681.1
215,945.1
216,928.4
217,2607.9
218,2743.5
219,2665.1
220,2524.7
221,3346.6
222,2458.2
223,3616.1
224,3687
225,3716.4
226,3274.4
227,3673
228,784.6
229,775
230,773.7
231,766.1
232,2291.4
233,780
234,756.1
235,767.6
236,745
237,778.1
238,725.3
239,831.4
240,1532.2
241,866.1
242,859.9
243,2556
244,894.8
245,893.2
246,870.8
247,930.4
248,922.6
249,907.5
250,2937
251,956.7
252,955
253,963
254,2887
255,2982.7
256,2510.6
257,3353
258,2226.5
259,3545.9
260,3676.1
261,3107.7
262,3740.3
263,1593.2
264,3630.7
265,760.3
266,767.3
267,751.4
268,755.9
269,2659.7
270,868.9
271,829.9
272,749.6
273,751.5
274,745
275,696.4
276,759.5
277,2050.8
278,847.5
279,845.3
280,845.3
281,870.8
282,869.8
283,891.9
284,880.9
285,935.9
286,921.4
287,905.4
288,969.5
289,969.8
290,964.2
291,987.1
292,968.4
293,2793
294,3165.7
295,2793
296,3303.6
297,2465.8
298,2909.3
299,893.5
300,3501.1
301,958.1
302,962.4
303,962.4
304,980.5
305,990.6
306,3276.5
307,3434.1
308,731.1
309,731.4
310,769.3
311,758.6
312,744.9
313,744.9
314,740.4
315,803.1
316,920.5
317,833.2
318,794
319,779.1
320,778.4
321,698.6
322,698.6
323,1428.7
324,866.8
325,842.5
326,901.7
327,888.8
328,864.3
329,937.1
330,915.2
331,994
332,953.9
333,995.8
334,993.9
335,972.1
336,2790.8
337,2895.5
338,3116.4
339,2662.5
340,1607
341,897.2
342,943.4
343,949.8
344,3463.1
345,977.7
346,994.8
347,997.4
348,3306
349,3513.9
350,3141.1
351,717.9
352,689.7
353,724.5
354,702.4
355,702.4
356,1508.5
357,1483.8
358,761.7
359,738.3
360,748.8
361,732.1
362,826.7
363,809.1
364,834.1
365,799.8
366,785.5
367,779.1
368,770.6
369,758
370,846.9
371,887.4
372,866.6
373,868.7
374,858.1
375,909.8
376,895.7
377,948
378,997.4
379,986.2
380,941.2
381,2612.3
382,2818
383,2693.4
384,927.5
385,947.5
386,2179.8
387,944.1
388,972.6
389,3496.2
390,997.1
391,995.5
392,1001.3
393,1000.5
394,1004.4
395,1005.5
396,1000.4
397,3108.1
398,3304.9
399,3204.4
400,3440.2
401,2984.8
402,1372.6
403,1508.5
404,712.6
405,674.9
406,789.9
407,1372.6
408,745.2
409,728.4
410,728.4
411,695.7
412,643
413,841.4
414,816.7
415,801.2
416,781
417,770.6
418,758.7
419,741.8
420,893.3
421,884
422,884
423,880.5
424,856.6
425,855.2
426,905.2
427,895.8
428,895.3
429,915.6
430,995.1
431,978.4
432,911
433,2529.7
434,2408.1
435,1118.4
436,954.8
437,975.5
438,969.8
439,3613.5
440,997.6
441,3357.5
442,997.6
443,1004.4
444,1018.8
445,1010.6
446,1026.3
447,1010.8
448,999
449,2841.7
450,2961.2
451,2961.2
452,2364.9
453,1136.7
454,1787.1
455,720.5
456,684.6
457,1861
458,2248.9
459,1973.7
460,1212.9
461,865.2
462,839.3
463,811.3
464,771.9
465,745.8
466,745.8
467,895.5
468,895.3
469,889.8
470,895.3
471,881.4
472,895.5
473,895.5
474,911
475,901.9
476,968.4
477,933.2
478,900.9
479,1017.8
480,1017.8
481,3731.3
482,976.9
483,997.8
484,3412.8
485,3696.5
486,3099.1
487,2929.6
488,1011.4
489,1011.4
490,1024.2
491,1026.5
492,1021.2
493,1026.3
494,1029.1
495,1005.2
496,997.2
497,2607.5
498,2835
499,2484.6
500,705.7
501,1269.2
502,1269.2
503,840.8
504,802.7
505,771.9
506,798.9
507,798
508,745.8
509,739.5
510,892.5
511,849.2
512,865.5
513,876.8
514,821.5
515,895.5
516,894.4
517,895.5
518,976.7
519,921.8
520,905.6
521,895.9
522,895.5
523,3842.4
524,1284.4
525,1002.9
526,3656.5
527,1013.9
528,3561.9
529,3040.4
530,2701.3
531,2402.3
532,1015.4
533,1029.1
534,1025.2
535,1013.1
536,1026.3
537,1029.1
538,1029.1
539,1029.1
540,991.8
541,2363.2
542,2160.7
543,791.4
544,798.9
545,720.4
546,736.3
547,720.4
548,1802.3
549,875.7
550,881.6
551,853.2
552,865.7
553,869.6
554,845.3
555,845.3
556,827
557,880.6
558,890.6
559,880.6
560,961.3
561,917.7
562,984.5
563,900.8
564,895.7
565,895.5
566,3938.2
567,3938.2
568,3782.4
569,4006
570,1017.6
571,3443.5
572,2641.5
573,2315.2
574,2298.7
575,2244.4
576,1091
577,1029.2
578,1028.9
