DEPTH,SAL,TEMP,SSOL1,SSOL2,DO,pH,DIC,POC,DOC,PO4,POP,DOP,PIP,NH4,NO3,PON,DON,PIN,SiO2,CHLOR,FDIAT,CYANO,CRYPT,MDIAT,IP_CHL,IP_FDI,IP_CYA,IP_CRY,IP_MDI,IN_CHL,IN_FDI,IN_CYA,IN_CRY,IN_MDI
 0.00000,   0.050,   3.650,   5.000,   0.000, 218.281,   8.230,1841.667,  26.667, 208.333,   0.121,   0.056,   0.181,   0.056,   0.723,  12.048,   0.482,   1.325,   0.071,   4.378,  31.833, 106.083,  31.833, 148.583, 742.750,   0.012,   0.021,   0.006,   0.029,   0.144,   0.246,   0.364,   0.109,   0.509,   2.546
 5.00000,   0.050,   3.540,   5.000,   0.000, 218.281,   8.230,1841.667,  26.667, 208.333,   0.121,   0.056,   0.181,   0.056,   0.723,  12.048,   0.482,   1.325,   0.071,   4.378,  31.833, 106.083,  31.833, 148.583, 742.750,   0.012,   0.021,   0.006,   0.029,   0.144,   0.246,   0.364,   0.109,   0.509,   2.546
10.00000,   0.050,   3.540,   5.000,   0.000, 218.281,   8.230,1841.667,  26.667, 208.333,   0.121,   0.056,   0.181,   0.056,   0.723,  12.048,   0.482,   1.325,   0.071,   4.378,  31.833, 106.083,  31.833, 148.583, 742.750,   0.012,   0.021,   0.006,   0.029,   0.144,   0.246,   0.364,   0.109,   0.509,   2.546
20.00000,   0.050,   3.530,   5.000,   0.000, 218.281,   8.230,1841.667,  26.667, 208.333,   0.121,   0.056,   0.181,   0.056,   0.723,  12.048,   0.482,   1.325,   0.071,   4.378,  31.833, 106.083,  31.833, 148.583, 742.750,   0.012,   0.021,   0.006,   0.029,   0.144,   0.246,   0.364,   0.109,   0.509,   2.546
