ISOTime,Flow
27/05/2088 00:00:00,4243.50000
28/05/2088 00:00:00,4323.80000
29/05/2088 00:00:00,4533.50000
30/05/2088 00:00:00,4231.40000
31/05/2088 00:00:00,4341.10000
01/06/2088 00:00:00,4328.60000
02/06/2088 00:00:00,4875.20000
03/06/2088 00:00:00,4775.30000
04/06/2088 00:00:00,4684.00000
05/06/2088 00:00:00,4708.80000
06/06/2088 00:00:00,4712.80000
07/06/2088 00:00:00,4702.40000
08/06/2088 00:00:00,4663.10000
09/06/2088 00:00:00,4606.20000
10/06/2088 00:00:00,4544.30000
11/06/2088 00:00:00,4580.60000
12/06/2088 00:00:00,4868.20000
13/06/2088 00:00:00,4854.80000
14/06/2088 00:00:00,4603.00000
15/06/2088 00:00:00,4711.30000
16/06/2088 00:00:00,4792.00000
17/06/2088 00:00:00,4740.20000
18/06/2088 00:00:00,4795.20000
19/06/2088 00:00:00,4668.00000
20/06/2088 00:00:00,4635.70000
21/06/2088 00:00:00,4572.30000
22/06/2088 00:00:00,4580.00000
23/06/2088 00:00:00,4585.00000
24/06/2088 00:00:00,4648.40000
25/06/2088 00:00:00,4694.10000
26/06/2088 00:00:00,4672.00000
27/06/2088 00:00:00,4722.80000
28/06/2088 00:00:00,5067.30000
29/06/2088 00:00:00,4999.70000
30/06/2088 00:00:00,5020.20000
01/07/2088 00:00:00,4960.30000
02/07/2088 00:00:00,4864.70000
03/07/2088 00:00:00,4635.00000
04/07/2088 00:00:00,4745.30000
05/07/2088 00:00:00,4966.60000
06/07/2088 00:00:00,4836.80000
07/07/2088 00:00:00,4768.90000
08/07/2088 00:00:00,4683.30000
09/07/2088 00:00:00,4631.00000
10/07/2088 00:00:00,4781.90000
11/07/2088 00:00:00,5026.10000
12/07/2088 00:00:00,4762.40000
13/07/2088 00:00:00,4805.00000
14/07/2088 00:00:00,4678.80000
15/07/2088 00:00:00,4793.90000
16/07/2088 00:00:00,4693.00000
17/07/2088 00:00:00,4525.00000
18/07/2088 00:00:00,4577.40000
19/07/2088 00:00:00,4510.40000
20/07/2088 00:00:00,4551.60000
21/07/2088 00:00:00,4517.00000
22/07/2088 00:00:00,4616.20000
23/07/2088 00:00:00,4619.10000
24/07/2088 00:00:00,4621.80000
25/07/2088 00:00:00,4709.40000
26/07/2088 00:00:00,4751.20000
27/07/2088 00:00:00,4552.20000
28/07/2088 00:00:00,4654.50000
29/07/2088 00:00:00,4636.30000
30/07/2088 00:00:00,4549.10000
31/07/2088 00:00:00,4476.90000
01/08/2088 00:00:00,4632.90000
02/08/2088 00:00:00,4608.00000
03/08/2088 00:00:00,4567.80000
04/08/2088 00:00:00,4584.00000
05/08/2088 00:00:00,4557.30000
06/08/2088 00:00:00,4491.90000
07/08/2088 00:00:00,4618.30000
08/08/2088 00:00:00,4635.60000
09/08/2088 00:00:00,4671.90000
10/08/2088 00:00:00,4642.90000
