! Central Basin - Station ER_37; file prepared by Michael Markowiak
! 2012099.000																																			
34	data sets																																		
4	number of depths																																		
49	81	"i,j"																																	
DEPTH	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI	
0	5.39	0.05	5.0	0.0	12.93	7.91	22.2	0.32	2.5	0.001469867	0.001201564	0.000791467	0.001201564	0.00988	0.16467	0.00659	0.01811	0.001	0.029666667	0.062186667	0.207288889	0.062186667	0.290204444	1.451022222	6.21867E-05	0.000103644	3.10933E-05	0.000145102	0.000725511	0.00299	0.00443	0.00133	0.0062	0.03099
5	5.39	0.05	5.0	0.0	12.93	7.91	22.2	0.32	2.5	0.001469867	0.001201564	0.000791467	0.001201564	0.00988	0.16467	0.00659	0.01811	0.001	0.029666667	0.062186667	0.207288889	0.062186667	0.290204444	1.451022222	6.21867E-05	0.000103644	3.10933E-05	0.000145102	0.000725511	0.00299	0.00443	0.00133	0.0062	0.03099
12	5.39	0.05	5.0	0.0	12.93	7.91	22.2	0.32	2.5	0.001469867	0.001201564	0.000791467	0.001201564	0.00988	0.16467	0.00659	0.01811	0.001	0.029666667	0.062186667	0.207288889	0.062186667	0.290204444	1.451022222	6.21867E-05	0.000103644	3.10933E-05	0.000145102	0.000725511	0.00299	0.00443	0.00133	0.0062	0.03099
23	5.39	0.05	5.0	0.0	12.93	7.91	22.2	0.32	2.5	0.001469867	0.001201564	0.000791467	0.001201564	0.00988	0.16467	0.00659	0.01811	0.001	0.029666667	0.062186667	0.207288889	0.062186667	0.290204444	1.451022222	6.21867E-05	0.000103644	3.10933E-05	0.000145102	0.000725511	0.00299	0.00443	0.00133	0.0062	0.03099
