! West Basin - Station ER_61; file prepared by Michael Markowiak
! 2012099.000																																			
34	data sets																																		
3	number of depths																																		
54	20	"i,j"																																	
DEPTH	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	PH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI	
0	9.29	0.05	7.0	0.0	10.97142333	7.82	20.96	0.34	2.5	0.001138167	0.001914764	0.001138167	0.001914764	0.05128	0.85467	0.03419	0.09401	0.001	0.808	0.057386667	0.191288889	0.057386667	0.267804444	1.339022222	5.73867E-05	9.56444E-05	2.86933E-05	0.000133902	0.000669511	0.0012	0.00177	0.00053	0.00248	0.0124
5	9.29	0.05	7.0	0.0	10.97142333	7.82	20.96	0.34	2.5	0.001138167	0.001914764	0.001138167	0.001914764	0.05128	0.85467	0.03419	0.09401	0.001	0.808	0.057386667	0.191288889	0.057386667	0.267804444	1.339022222	5.73867E-05	9.56444E-05	2.86933E-05	0.000133902	0.000669511	0.0012	0.00177	0.00053	0.00248	0.0124
7	9.29	0.05	7.0	0.0	10.97142333	7.82	20.96	0.34	2.5	0.001138167	0.001914764	0.001138167	0.001914764	0.05128	0.85467	0.03419	0.09401	0.001	0.808	0.057386667	0.191288889	0.057386667	0.267804444	1.339022222	5.73867E-05	9.56444E-05	2.86933E-05	0.000133902	0.000669511	0.0012	0.00177	0.00053	0.00248	0.0124
