! Central Basin - Station ER_78; file prepared by Michael Markowiak
! 2012099.000																																			
34	data sets																																		
4	number of depths																																		
49	94	"i,j"																																	
DEPTH	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI	
0	5.00	0.05	5.0	0.0	12.7356325	7.85	22.5	0.32	2.5	0.004578	0.001275867	0.006867	0.001275867	0.00887	0.14775	0.00591	0.01625	0.001	0.31175	0.1522	0.507333333	0.1522	0.710266667	3.551333333	0.0001522	0.000253667	0.0000761	0.000355133	0.001775667	0.00191	0.00283	0.00085	0.00396	0.01981
5	5.00	0.05	5.0	0.0	12.7356325	7.85	22.5	0.32	2.5	0.004578	0.001275867	0.006867	0.001275867	0.00887	0.14775	0.00591	0.01625	0.001	0.31175	0.1522	0.507333333	0.1522	0.710266667	3.551333333	0.0001522	0.000253667	0.0000761	0.000355133	0.001775667	0.00191	0.00283	0.00085	0.00396	0.01981
10	5.00	0.05	5.0	0.0	12.7356325	7.85	22.5	0.32	2.5	0.004578	0.001275867	0.006867	0.001275867	0.00887	0.14775	0.00591	0.01625	0.001	0.31175	0.1522	0.507333333	0.1522	0.710266667	3.551333333	0.0001522	0.000253667	0.0000761	0.000355133	0.001775667	0.00191	0.00283	0.00085	0.00396	0.01981
20	5.00	0.05	5.0	0.0	12.7356325	7.85	22.5	0.32	2.5	0.004578	0.001275867	0.006867	0.001275867	0.00887	0.14775	0.00591	0.01625	0.001	0.31175	0.1522	0.507333333	0.1522	0.710266667	3.551333333	0.0001522	0.000253667	0.0000761	0.000355133	0.001775667	0.00191	0.00283	0.00085	0.00396	0.01981
