! Central Basin - Station ER_32; file prepared by Michael Markowiak
! 2012099.000																																			
34	data sets																																		
4	number of depths																																		
51	104	"i,j"																																	
DEPTH	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI	
0	5.26	0.05	5.0	0.0	12.65654	7.89	21.68	0.32	2.5	0.0029236	0.003021871	0.0043854	0.003021871	0.0145	0.24167	0.00967	0.02658	0.001	0.104	0.115626667	0.385422222	0.115626667	0.539591111	2.697955556	0.000115627	0.000192711	5.78133E-05	0.000269796	0.001348978	0.00377	0.00559	0.00168	0.00783	0.03914
5	5.26	0.05	5.0	0.0	12.65654	7.89	21.68	0.32	2.5	0.0029236	0.003021871	0.0043854	0.003021871	0.0145	0.24167	0.00967	0.02658	0.001	0.104	0.115626667	0.385422222	0.115626667	0.539591111	2.697955556	0.000115627	0.000192711	5.78133E-05	0.000269796	0.001348978	0.00377	0.00559	0.00168	0.00783	0.03914
10	5.26	0.05	5.0	0.0	12.65654	7.89	21.68	0.32	2.5	0.0029236	0.003021871	0.0043854	0.003021871	0.0145	0.24167	0.00967	0.02658	0.001	0.104	0.115626667	0.385422222	0.115626667	0.539591111	2.697955556	0.000115627	0.000192711	5.78133E-05	0.000269796	0.001348978	0.00377	0.00559	0.00168	0.00783	0.03914
20	5.26	0.05	5.0	0.0	12.65654	7.89	21.68	0.32	2.5	0.0029236	0.003021871	0.0043854	0.003021871	0.0145	0.24167	0.00967	0.02658	0.001	0.104	0.115626667	0.385422222	0.115626667	0.539591111	2.697955556	0.000115627	0.000192711	5.78133E-05	0.000269796	0.001348978	0.00377	0.00559	0.00168	0.00783	0.03914
