! East Basin - Station ER_10; file prepared by Michael Markowiak
! 2012099.000																																			
34	data sets																																		
5	number of depths																																		
14	159	"i,j"																																	
DEPTH	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	pH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI	
0	4.40	0.05	2	0	12.80935429	7.89	21.42	0.26	2.5	0.004246775	0.000844653	0.002286725	0.000844653	0.01403	0.23375	0.00935	0.02571	0.001	0.2135	0.05372	0.179066667	0.05372	0.250693333	1.253466667	5.372E-05	8.95333E-05	2.686E-05	0.000125347	0.000626733	0.00064	0.00095	0.00028	0.00133	0.00664
5	4.40	0.05	2	0	12.80935429	7.89	21.42	0.26	2.5	0.004246775	0.000844653	0.002286725	0.000844653	0.01403	0.23375	0.00935	0.02571	0.001	0.2135	0.05372	0.179066667	0.05372	0.250693333	1.253466667	5.372E-05	8.95333E-05	2.686E-05	0.000125347	0.000626733	0.00064	0.00095	0.00028	0.00133	0.00664
10	4.40	0.05	2	0	12.80935429	7.89	21.42	0.26	2.5	0.004246775	0.000844653	0.002286725	0.000844653	0.01403	0.23375	0.00935	0.02571	0.001	0.2135	0.05372	0.179066667	0.05372	0.250693333	1.253466667	5.372E-05	8.95333E-05	2.686E-05	0.000125347	0.000626733	0.00064	0.00095	0.00028	0.00133	0.00664
20	4.40	0.05	2	0	12.80935429	7.89	21.42	0.26	2.5	0.004246775	0.000844653	0.002286725	0.000844653	0.01403	0.23375	0.00935	0.02571	0.001	0.2135	0.05372	0.179066667	0.05372	0.250693333	1.253466667	5.372E-05	8.95333E-05	2.686E-05	0.000125347	0.000626733	0.00064	0.00095	0.00028	0.00133	0.00664
30	4.40	0.05	2	0	12.80935429	7.89	21.42	0.26	2.5	0.004246775	0.000844653	0.002286725	0.000844653	0.01403	0.23375	0.00935	0.02571	0.001	0.2135	0.05372	0.179066667	0.05372	0.250693333	1.253466667	5.372E-05	8.95333E-05	2.686E-05	0.000125347	0.000626733	0.00064	0.00095	0.00028	0.00133	0.00664
