time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2011-01-01 00:00,0,5.348,2.465,82.8,2.713892256,0,0
2011-01-01 03:00,0,31.734,0.617,94.8,2.698888852,0,0
2011-01-01 06:00,0,90.472,0,100,2.841664279,0,0
2011-01-01 09:00,0,151.684,0,100,2.979442001,0,0
2011-01-01 12:00,19.195,200.697,0,100,3.059723137,0,0
2011-01-01 15:00,76.498,246.69,0,100,2.961389069,0,0
2011-01-01 18:00,104.496,291.02,0,100,2.962498516,0,0
2011-01-01 21:00,56.275,239.117,0,100,3.063610229,0,0
2011-01-02 00:00,9.083,96.523,0,100,2.990829743,0,0
2011-01-02 03:00,0,52.098,0,100,2.994998773,0,0
2011-01-02 06:00,0,113.785,0,100,2.967496862,0,0
2011-01-02 09:00,0,203.69,0,100,2.653891931,0,0
2011-01-02 12:00,53.156,310.327,0,100,2.470833384,0,0
2011-01-02 15:00,190.11,410.381,0,100,2.777224064,0,0
2011-01-02 18:00,246.847,499.12,0,100,2.98972442,0,0
2011-01-02 21:00,135.987,415.956,0,100,2.944171695,0,0
2011-01-03 00:00,26.095,154.138,1.012,92.4,2.799722911,0,0
2011-01-03 03:00,0,32.987,0.991,92.4,2.712775944,0,0
2011-01-03 06:00,0,63.615,0.377,96.5,2.651664427,0,0
2011-01-03 09:00,0,96.006,0.01,99,2.561670324,0,0
2011-01-03 12:00,15.563,127.915,0,100,2.536666011,0,0
2011-01-03 15:00,80.029,153.652,0,100,2.555280792,0,0
2011-01-03 18:00,124.98,175.067,0,100,2.554439423,0,0
2011-01-03 21:00,72.123,141.525,0,100,2.706941686,0,0
2011-01-04 00:00,11.61,66.875,0,100,2.794998507,0,0
2011-01-04 03:00,0,75.355,0,100,2.943331507,0,0
2011-01-04 06:00,0,165.539,0,100,2.853609291,0,0
2011-01-04 09:00,0,273.621,0,100,2.431662371,0,0
2011-01-04 12:00,60.648,383.685,0,100,2.095835454,0,0
2011-01-04 15:00,211.073,487.911,0,100,2.088886354,0,0
2011-01-04 18:00,252.91,578.217,0,100,2.072501403,0,0
2011-01-04 21:00,115.193,469.437,0,100,1.695278268,0,0
2011-01-05 00:00,12.708,173.817,0,100,1.247500439,0,0
2011-01-05 03:00,0,49.842,0,100,1.019725124,0,0
2011-01-05 06:00,0,97.045,0,100,0.977776165,0,0
2011-01-05 09:00,0,146.089,0,100,0.895554815,0,0
2011-01-05 12:00,27.132,195.232,0,100,1.034169956,0,0
2011-01-05 15:00,77.816,236.868,0,100,1.644169139,0,0
2011-01-05 18:00,81.251,268.509,0,100,2.067778871,0,0
2011-01-05 21:00,37.584,214.097,0,100,2.304445183,0,0
2011-01-06 00:00,7.016,80.337,0,100,2.487504835,0,0
2011-01-06 03:00,0,29.804,0,100,2.729725293,0,0
2011-01-06 06:00,0,67.546,0,100,2.891662935,0,0
2011-01-06 09:00,0,128.087,0,100,2.550832561,0,0
2011-01-06 12:00,31.491,205.594,0,100,2.203609054,0,0
2011-01-06 15:00,95.499,273.804,0,100,2.125274331,0,0
2011-01-06 18:00,103.54,326.719,0,100,2.025278261,0,0
2011-01-06 21:00,46.548,268.246,0,100,1.669999356,0,0
2011-01-07 00:00,7.015,101.535,0,100,0.884441521,0,0
2011-01-07 03:00,0,37.143,0,100,1.178331833,0,0
2011-01-07 06:00,0,82.449,0,100,1.743051454,0,0
2011-01-07 09:00,0,137.256,0,100,1.673608853,0,0
2011-01-07 12:00,28.862,196.505,0,100,1.711393052,0,0
2011-01-07 15:00,98.046,254.434,0,100,2.077500532,0,0
2011-01-07 18:00,122.585,305.313,0,100,2.186665043,0,0
2011-01-07 21:00,66.478,251.012,0,100,2.034720473,0,0
2011-01-08 00:00,13.078,107.55,0,100,1.978614481,0,0
2011-01-08 03:00,0,74.983,0,100,1.959443886,0,0
