X Y Z
671173.006 4748693.500 -7.908
671799.192 4748380.400 -6.765
672394.701 4748023.340 -5.203
672904.735 4747543.760 -1.000
673485.660 4747153.910 -7.496
674005.330 4746706.180 -1.000
671040.653 4748069.270 -9.261
670395.926 4748154.390 -8.423
670493.330 4748780.000 -7.371
671652.724 4747750.900 -6.303
672273.825 4747287.760 -7.704
672846.587 4746831.530 -8.431
673438.754 4746360.990 -1.849
674308.903 4746083.260 -2.126
673696.521 4745786.220 -4.084
670922.228 4747337.940 -9.253
670316.883 4747565.060 -8.374
669685.767 4748169.560 -6.778
669793.234 4748780.000 -5.907
669551.214 4747577.090 -8.311
671669.444 4746958.920 -7.340
672169.727 4746518.410 -8.956
672764.141 4746048.190 -9.473
673130.210 4745538.570 -9.508
674457.445 4745399.340 -8.240
673909.886 4745196.420 -6.890
673300.867 4744833.910 -9.374
670617.130 4746742.520 -10.574
669998.791 4746959.970 -8.555
671185.741 4746539.120 -9.574
668973.117 4748178.360 -7.536
669093.137 4748780.000 -8.365
668771.462 4747585.750 -6.631
669093.777 4746889.340 -9.951
671816.669 4746105.340 -9.626
672198.062 4745620.450 -10.218
672647.755 4744998.870 -10.436
674565.870 4744707.990 -9.223
673970.460 4744489.290 -1.000
673306.192 4744063.230 -8.820
672564.151 4744331.220 -10.540
670382.855 4746166.740 -10.481
669722.807 4746227.480 -9.460
671147.926 4745854.890 -10.069
668241.138 4748216.840 -8.498
668393.040 4748780.000 -6.789
668115.073 4747695.420 -8.427
668433.839 4746994.670 -7.132
667784.043 4747146.700 -9.138
668910.304 4746262.820 -10.993
668176.640 4746451.590 -6.515
671601.290 4745304.930 -10.530
671991.352 4744737.620 -10.381
674601.282 4744011.700 -1.000
674003.285 4743797.070 -1.000
672781.687 4743480.830 -9.503
672057.534 4743751.020 -10.608
673373.802 4743333.750 -7.985
673882.513 4743112.080 -4.655
671430.432 4744393.230 -10.024
670440.141 4745468.030 -10.937
669685.134 4745577.570 -10.248
669111.538 4745649.760 -11.544
671050.145 4744925.130 -9.985
667547.826 4748345.020 -4.049
667717.582 4748929.690 -1.828
667407.240 4747675.830 -7.908
667355.180 4746647.210 -10.405
666875.325 4747182.770 -10.191
668350.218 4745719.430 -8.439
667594.851 4745817.350 -9.932
674541.246 4743314.180 -1.000
672661.658 4742929.880 -9.275
672042.371 4743092.140 -10.723
673303.472 4742660.900 -6.487
671305.231 4743625.910 -11.493
671509.756 4742942.490 -11.237
674000.097 4742291.330 -4.475
674532.863 4742618.420 -1.000
670708.540 4744089.180 -11.434
670253.454 4744632.240 -10.892
669604.097 4744958.990 -10.955
668725.390 4745017.250 -8.632
666894.926 4748549.640 -2.621
667054.417 4749154.080 -1.000
666738.461 4747969.490 -6.262
666555.376 4746598.870 -10.758
666727.787 4745953.940 -11.129
666129.139 4747338.770 -8.991
665979.811 4748130.870 -5.383
666014.884 4746584.300 -11.256
667896.239 4745070.940 -11.396
667182.694 4745207.910 -11.632
672123.204 4742351.600 -10.004
672820.750 4742101.390 -9.389
671537.612 4742112.140 -10.463
673501.543 4741862.800 -6.321
670773.191 4743219.740 -11.275
670250.333 4743604.660 -11.475
670849.950 4742512.860 -10.610
674206.319 4741657.030 -4.647
674691.041 4741940.460 -1.000
669758.287 4744086.920 -11.575
669262.119 4744342.980 -11.774
668419.602 4744289.330 -12.475
667752.778 4744533.420 -12.376
666280.241 4748698.240 -2.642
666391.252 4749378.460 -1.000
666007.086 4745919.010 -11.907
666380.604 4745127.570 -12.098
665372.615 4747107.650 -9.629
665344.098 4747716.160 -6.428
665437.292 4748514.770 -4.541
665709.711 4749218.440 -1.382
665294.363 4746419.130 -10.376
665314.966 4745725.090 -12.725
667011.274 4744519.780 -12.271
672228.087 4741606.090 -11.219
671667.022 4741347.260 -9.515
672982.141 4741382.860 -9.882
670938.792 4741738.750 -9.971
671111.364 4741067.880 -8.560
673573.749 4741121.600 -5.191
674388.858 4740997.410 -3.977
670004.951 4742815.790 -11.075
670252.198 4742018.250 -10.460
669422.364 4743285.700 -11.375
674949.796 4741289.940 -1.000
668877.591 4743671.220 -12.016
667882.056 4743875.230 -12.590
668293.676 4743320.890 -12.450
667340.551 4743756.320 -12.804
665682.813 4745139.110 -12.752
666003.790 4744521.820 -12.675
666473.980 4744028.400 -12.375
664639.279 4746885.600 -6.257
664631.213 4747508.230 -4.486
664628.718 4746261.180 -10.965
664734.297 4748282.380 -3.584
665049.086 4748986.690 -3.108
664388.389 4748755.160 -2.502
665026.698 4744927.780 -13.423
664450.955 4745498.360 -13.475
672586.657 4740980.190 -10.673
671844.559 4740678.340 -10.402
671202.449 4740312.250 -10.030
673133.969 4740495.260 -9.569
670383.440 4741092.090 -9.814
669640.622 4741667.610 -11.069
670445.061 4740434.300 -8.375
673927.728 4740364.780 -6.752
674593.289 4740225.000 -3.121
675140.448 4740623.530 -3.230
669480.504 4742364.210 -11.275
668874.613 4742829.390 -11.751
667674.444 4743007.860 -13.475
668101.064 4742511.290 -12.920
666706.982 4743187.920 -13.428
667158.157 4742484.760 -13.679
665240.883 4744328.990 -13.631
665803.836 4743684.240 -13.493
665831.583 4742998.500 -14.218
663918.588 4746679.780 -5.409
663920.665 4747317.460 -4.111
663897.084 4746058.940 -8.121
664133.735 4748032.590 -5.498
663715.616 4748561.490 -1.417
664273.066 4744706.250 -13.799
664439.567 4744136.790 -14.318
663692.467 4745286.990 -13.512
672361.121 4740260.090 -9.936
671785.605 4739823.270 -9.475
670876.247 4739610.570 -9.675
670172.263 4739770.780 -12.358
671401.485 4739255.810 -9.180
673216.513 4739865.050 -8.902
672482.530 4739536.200 -9.575
673860.026 4739763.270 -7.490
669666.681 4740907.200 -10.675
669541.399 4740265.170 -9.244
669053.928 4741336.620 -11.842
668818.526 4742021.740 -12.162
674473.775 4739524.780 -5.556
675161.444 4739925.300 -3.946
675119.806 4739226.450 -2.913
667392.012 4741937.090 -13.575
668196.512 4741775.590 -12.784
666452.999 4742371.020 -14.420
666683.434 4741650.530 -14.108
664896.549 4743540.760 -14.475
665050.441 4742810.760 -14.875
665710.725 4742208.720 -14.773
664974.332 4742083.680 -15.449
663204.860 4746485.640 -6.968
663214.829 4747126.550 -4.495
663160.640 4745865.450 -8.487
663313.181 4747809.670 -3.337
663037.579 4748387.130 -1.000
663426.735 4744519.450 -14.566
663816.896 4743893.370 -14.775
664242.689 4743270.860 -15.048
662932.703 4745102.030 -14.437
672042.915 4738958.320 -9.139
670425.988 4739019.790 -9.049
671125.494 4738577.400 -8.498
669591.981 4739071.460 -7.568
669131.261 4739634.430 -4.091
671643.866 4738390.680 -8.675
673040.193 4739064.630 -8.731
673759.692 4739142.230 -8.014
672613.610 4738639.260 -8.779
674316.675 4738847.950 -4.754
668884.005 4740527.370 -11.663
668393.298 4740023.140 -11.769
668382.290 4741075.480 -12.475
674951.262 4738571.350 -1.147
667569.560 4741223.000 -13.152
667023.395 4740802.010 -13.328
665785.185 4741630.860 -14.775
666087.645 4740961.920 -14.292
664257.650 4742601.080 -15.475
664276.860 4741941.160 -15.675
665054.769 4741399.180 -15.475
664240.121 4741166.090 -15.809
662545.489 4746396.070 -9.031
662634.533 4747111.270 -7.364
662360.324 4745783.240 -11.856
662564.282 4747630.580 -3.716
662359.516 4748212.880 -1.000
662765.404 4744278.280 -13.481
662272.809 4744855.000 -14.081
662956.680 4743719.770 -14.804
663542.190 4743147.440 -15.475
663454.280 4742375.780 -15.895
661663.849 4745261.830 -12.232
672219.712 4738065.060 -8.370
670278.840 4738207.280 -7.760
669768.102 4738439.290 -9.440
670927.258 4737813.960 -9.297
671590.744 4737665.450 -8.415
668975.793 4738710.460 -9.352
668529.834 4739136.290 -8.927
669291.211 4738028.870 -9.475
673429.788 4738512.920 -7.618
672971.775 4738032.100 -7.756
673970.691 4738257.090 -4.682
674548.226 4737998.960 -1.000
667927.808 4740498.530 -12.375
667729.299 4739470.140 -11.807
667368.853 4740085.690 -12.558
666440.476 4740161.450 -13.287
666750.000 4739569.900 -12.584
665275.060 4740902.550 -15.043
665567.639 4740247.630 -14.122
663505.695 4741686.790 -16.268
664690.710 4740550.470 -15.470
663351.320 4740842.770 -16.476
663815.610 4740288.580 -15.979
661903.872 4746751.560 -7.946
661738.702 4746131.090 -9.995
661960.055 4747533.380 -3.166
661677.556 4748054.560 -2.217
661959.122 4744221.850 -9.385
662184.986 4743482.110 -14.460
661368.586 4744648.360 -12.676
662783.433 4742902.690 -15.609
662633.128 4742055.650 -16.476
662725.585 4741420.780 -16.476
660894.419 4745174.560 -12.342
661116.045 4745998.320 -10.223
672395.310 4737376.780 -7.468
671884.712 4736873.360 -7.431
673127.082 4737213.160 -5.010
669941.736 4737620.130 -9.475
670397.706 4737279.210 -8.313
671133.904 4737029.270 -7.953
668477.877 4738196.650 -10.312
667893.905 4738608.180 -11.175
