ID,BIV_num
1,11008.0000
2,12849.7000
3,12849.7000
4,10972.2000
5,10972.2000
6,11008.0000
7,10972.2000
8,11008.0000
9,12849.7000
10,12849.7000
11,12849.7000
12,10972.2000
13,10972.2000
14,10972.2000
15,10972.2000
16,11008.0000
17,10972.2000
18,11008.0000
19,10972.2000
20,12849.7000
21,12849.7000
22,11008.0000
23,13038.8000
24,12849.7000
25,13012.8853
26,11514.2000
27,11514.2000
28,11514.2000
29,11514.2000
30,10972.2000
31,10972.2000
32,11514.2000
33,10972.2000
34,11514.2000
35,11514.2000
36,11256.7902
37,11645.4020
38,12078.2000
39,12274.0042
40,12404.1544
41,11913.0544
42,12185.6512
43,11381.5377
44,11514.2000
45,11514.2000
46,10726.9000
47,10726.9000
48,11514.2000
49,10974.8718
50,11514.2000
51,10907.4192
52,10726.9000
53,10726.9000
54,10726.9000
55,11213.9000
56,10203.8414
57,10241.4996
58,12440.9000
59,11965.5567
60,11644.6022
61,11588.3885
62,10961.0100
63,11046.2152
64,10594.9800
65,11082.8714
66,11466.5083
67,10653.6000
68,10726.9000
69,10567.2203
70,10286.3617
71,10038.3295
72,10152.8765
73,10653.6000
74,10653.6000
75,10178.2841
76,10350.5553
77,9970.7875
78,13249.4000
79,12219.0283
80,11726.4875
81,10611.1681
82,10876.3600
83,10577.4267
84,11372.6356
85,11510.5762
86,11310.3399
87,8744.2000
88,8777.8841
89,10755.5504
90,10591.8964
91,10156.6083
92,9956.3817
93,9868.2728
94,10427.6687
95,8744.2000
96,8744.2000
97,8517.6190
98,10132.9557
99,10631.9635
100,9716.9418
101,13011.8000
102,12513.5302
103,12031.4530
104,11693.0654
105,10580.2963
106,10834.6432
107,11099.8516
108,10935.0865
109,11612.7630
110,11236.7115
111,6568.9000
112,6568.9000
113,9974.2722
114,9857.0079
115,9824.8466
116,10091.2730
117,9744.7155
118,8756.8454
119,9856.7315
120,8907.1597
121,6905.4256
122,8335.3213
123,9619.5482
124,8525.3322
125,9446.9308
126,8849.3389
127,6891.6552
128,13011.8000
129,12494.0130
130,9964.6518
131,11026.8207
132,10146.4730
133,10287.3822
134,7690.7504
135,8844.4694
136,9743.1303
137,8577.0666
138,8581.2696
139,8243.3968
140,8877.5131
141,5323.7000
142,5736.5575
143,8707.6848
144,9804.6034
145,9060.3675
146,7597.0566
147,5375.5219
148,8658.1065
149,8415.2252
150,8335.2894
151,8944.5558
152,8209.2113
153,6165.0982
154,4870.4871
155,4780.5277
156,6206.5111
157,4680.2717
158,12593.9000
159,12593.9000
160,9048.2766
161,7513.2984
162,6769.1902
163,6345.0670
164,6115.7948
165,6778.6185
166,9553.0422
167,4968.8616
168,6279.2564
169,6679.2401
170,5934.4067
171,4662.9688
172,5181.3000
173,5181.3000
174,6694.1537
175,9305.5893
176,8492.0829
177,8324.1226
178,7277.0062
179,4729.9991
180,4620.6955
181,8294.9219
182,8983.4233
183,9057.7880
184,8161.5165
185,7933.3740
186,8032.0200
187,4365.4945
188,4629.3605
189,4765.5958
190,4869.3384
191,5070.9533
192,5454.8016
193,9029.6684
194,11455.0192
195,4844.2715
196,4792.2869
197,4831.6400
198,4639.3450
199,14158.9912
200,4653.5706
201,4805.4573
202,4626.0441
203,4582.0187
204,4746.7234
205,5181.3000
206,7632.3000
207,8393.0909
208,9514.5212
209,7632.3000
210,7758.8958
211,8860.4136
212,7409.9243
213,9380.1497
214,5335.0989
215,4274.8989
216,4738.6825
217,8443.7053
218,9389.4206
219,10291.1927
220,8477.8644
221,8083.4441
222,8246.4136
223,8322.3485
224,4978.0166
225,4982.9767
226,4952.4901
227,4702.5216
228,4509.3522
229,5137.8033
230,7329.0308
231,11505.5799
232,4644.7554
233,4562.7733
234,4491.3400
235,4442.4965
236,4216.8909
237,4250.8859
238,15393.0368
239,14188.5193
240,4505.6695
241,4568.5855
242,7716.6000
243,7928.1207
244,8956.1891
245,8780.1144
246,4980.9113
247,7059.5309
248,7300.2961
249,10090.4060
250,4983.7832
251,4581.5133
252,4802.8798
253,8624.6822
254,9590.0914
255,10901.9446
256,11351.8434
257,8542.3084
258,8556.6226
259,8394.7537
260,5167.3041
261,5070.3085
262,5177.8820
263,4781.3388
264,4532.4961
265,4579.1700
266,6658.2593
267,4659.3805
268,8097.0913
269,4571.9880
270,4152.7239
271,4199.4430
272,4279.9174
273,4358.2649
274,4097.8267
275,4063.1717
276,4196.9806
277,4094.0225
278,15413.8099
279,15280.2936
280,9439.6404
281,4440.3309
282,8006.9000
283,6182.6746
284,8842.8916
285,8825.5993
286,5206.0126
287,7463.8666
288,11467.8574
289,5777.0754
290,4755.7275
291,5140.9426
292,9155.4365
293,10704.3279
294,8191.9107
295,11192.9104
296,11554.5481
297,11747.9820
298,8943.1334
299,8347.6501
300,8402.9460
301,8627.8672
302,8225.2753
303,5339.1776
304,5155.9893
305,5294.7337
