ID,BIV_num
-2.237301e+00,406.9500
-1.944933e+00,386.7200
5.451778e-02,386.7200
-3.107942e+00,409.4800
-3.600518e+00,409.4800
-4.274020e+00,406.9500
-2.479057e+00,409.4800
-3.323960e+00,406.9500
-5.122330e+00,386.7200
-2.126668e+00,386.7200
-3.404402e+00,386.7200
-2.402882e+00,409.4800
-3.495639e+00,409.4800
-4.754032e+00,409.4800
-5.311371e+00,409.4800
-4.680047e+00,406.9500
-3.820584e+00,409.4800
-6.430989e+00,406.9500
-1.597821e+00,409.4800
-7.231778e+00,386.7200
-4.313093e+00,386.7200
-8.197361e+00,406.9500
-2.257541e+00,383.1300
-5.609802e+00,386.7200
-4.166517e+00,384.4033
-2.096543e+00,397.2900
-3.298946e+00,397.2900
-3.979269e+00,397.2900
-3.312819e+00,397.2900
-5.203825e+00,409.4800
-7.500460e+00,409.4800
-5.817757e+00,397.2900
-7.376828e+00,409.4800
-5.007293e+00,397.2900
-4.861965e+00,397.2900
-8.831721e+00,408.2695
-8.142759e+00,401.0300
-1.585042e+00,379.4700
-4.295029e+00,397.6964
-7.485879e+00,390.9018
-8.332002e+00,397.0560
-8.082205e+00,388.8731
-8.750319e+00,411.4219
-1.459194e+00,397.2900
-1.139427e+00,397.2900
-2.318391e+00,390.4100
-2.607608e+00,390.4100
-5.755189e+00,397.2900
-8.064761e+00,403.8426
-6.437953e+00,397.2900
-7.449226e+00,400.6096
-6.670273e+00,390.4100
-6.130200e+00,390.4100
-3.828759e+00,390.4100
-8.689301e+00,414.4741
-8.411631e+00,408.2873
-9.013902e+00,418.3465
-1.629425e+00,375.0650
-5.146968e+00,396.1750
-7.524777e+00,414.9031
-8.481900e+00,400.8490
-8.905690e+00,416.9287
-9.275671e+00,414.1154
-8.928823e+00,420.4442
-9.606612e+00,416.0430
-9.452278e+00,421.6493
-2.220531e+00,389.8650
-6.931650e+00,390.4100
-7.527734e+00,393.4626
-7.709811e+00,396.0176
-8.272271e+00,407.0165
-7.699328e+00,380.6744
-1.364921e+00,389.8650
-4.827955e+00,389.8650
-9.769118e+00,429.2377
-9.985994e+00,430.2736
-9.248567e+00,414.9728
-1.952735e+00,376.2050
-5.752142e+00,401.2846
-9.433105e+00,420.5450
-9.408604e+00,420.4579
-9.901496e+00,424.1307
-1.009428e+01,429.8632
-1.001984e+01,428.1174
-1.011915e+01,430.1045
-1.028578e+01,432.5970
-2.591336e-01,398.2050
-7.126396e+00,360.4868
-6.039384e+00,380.8044
-6.192982e+00,380.0764
-8.166539e+00,396.3987
-8.449951e+00,407.7419
-9.621149e+00,429.0117
-7.319515e+00,373.2083
-2.212822e+00,398.2050
-2.469186e+00,398.2050
-5.079259e+00,379.4381
-1.003050e+01,424.7762
-1.046502e+01,438.7563
-1.018887e+01,403.4076
-2.212674e+00,351.7400
-5.371756e+00,387.7254
-9.155643e+00,420.9655
-1.018968e+01,430.7705
-9.529711e+00,384.1216
-1.011017e+01,431.0170
-1.029887e+01,433.9422
-1.068938e+01,433.3837
-1.047943e+01,435.1542
-1.047302e+01,433.9808
-2.933978e-02,318.4400
-7.101467e-01,318.4400
-6.763328e+00,370.9985
-6.923421e+00,391.8071
-6.788722e+00,399.4160
-8.246002e+00,399.1312
-9.658878e+00,413.2380
-1.070893e+01,320.4368
-6.695283e+00,371.7896
-8.998520e+00,413.2281
-2.128008e+00,324.5427
-3.565452e+00,336.2147
-6.256356e+00,366.9535
-1.010156e+01,311.1789
-1.063170e+01,372.1144
-1.088387e+01,308.1495
-1.069661e+01,179.5883
-2.979058e+00,351.7400
-4.294043e+00,391.4829
-6.732745e+00,363.6305
-1.012584e+01,392.4846
-9.555901e+00,352.7750
-1.002453e+01,388.4610
-8.746118e+00,242.8456
-3.841238e+00,326.1345
-1.073095e+01,365.4385
-1.096546e+01,256.4860
-1.091878e+01,224.8515
-1.111081e+01,287.8934
-1.032379e+01,272.1419
-1.224290e-01,322.6250
-1.542737e+00,330.3534
-9.366372e+00,427.4374
-8.556390e+00,398.0692
-8.337481e+00,402.1058
-9.377527e+00,385.3137
-1.035485e+01,223.5154
-9.195517e+00,413.5466
-1.037681e+01,432.6479
-3.321309e+00,343.7497
-6.392294e+00,381.0153
-9.325856e+00,420.9191
-1.049426e+01,174.7982
-1.023618e+01,144.3658
-1.081478e+01,123.7285
-1.106903e+01,193.0903
-1.127049e+01,138.9119
-4.873901e+00,381.2050
-3.273768e+00,381.2050
-3.346937e-01,239.8351
-9.651316e+00,220.9941
-9.456823e+00,169.4456
-8.283306e+00,172.2855
-1.086071e+01,122.1699
-9.983399e+00,205.7824
-3.642327e+00,169.9634
-1.136823e+01,122.7449
-1.131820e+01,165.1953
-1.142534e+01,120.7827
-1.146815e+01,122.8250
-1.155689e+01,114.3300
1.400964e-01,326.8400
-9.597478e-01,326.8400
-2.460847e+00,331.8050
-4.312704e+00,350.0348
-8.943953e+00,422.4172
-1.048604e+01,440.3424
-8.922984e+00,378.7613
-9.874647e+00,176.4478
-1.152697e+01,135.4750
-1.060537e+01,438.9913
-1.119907e+01,449.8972
-5.958662e+00,381.6060
-8.169646e+00,404.1614
-9.696961e+00,420.2662
-1.040091e+01,435.9849
-1.166855e+01,110.6566
-1.209357e+01,117.6164
-1.245327e+01,116.8894
-1.234874e+01,116.6401
-9.875643e+00,106.9038
-9.171994e+00,105.5992
-7.434630e+00,163.0856
-3.183740e+00,220.6514
-1.068316e+01,109.8189
-1.017485e+01,107.2567
-1.129630e+01,112.9100
-1.090739e+01,111.1285
-3.053918e+00,292.4226
-1.134081e+01,113.1105
-1.140643e+01,113.6298
-1.152478e+01,114.0768
-1.138411e+01,113.7836
-1.192055e+01,114.9032
4.048638e-01,326.8400
-5.161966e-01,337.0700
-4.381407e+00,344.3403
-5.046837e+00,359.6021
-2.408688e+00,337.0700
-3.776728e+00,334.8310
-6.355289e+00,382.6264
-1.053113e+01,366.6444
-1.154851e+01,442.9230
-1.115222e+01,238.1993
-1.198385e+01,114.2178
-1.244401e+01,117.3747
-1.078645e+01,438.7579
-1.181549e+01,451.8745
-1.223696e+01,465.5554
-7.009338e+00,382.5223
-8.651051e+00,401.2548
-8.057410e+00,405.1296
-1.034977e+01,428.1354
-1.273106e+01,118.9499
-1.256264e+01,117.9353
-1.236861e+01,117.6258
-1.192425e+01,114.6643
-9.609251e+00,106.0387
-9.186182e+00,104.7684
-8.089222e+00,158.3017
-5.866240e+00,234.3800
-1.022473e+01,109.8487
-1.043009e+01,110.8412
-1.081446e+01,111.2840
-1.099113e+01,111.4295
-1.036589e+01,109.3031
-1.024595e+01,109.8676
-3.363325e+00,348.2140
-5.222212e+00,297.3324
-1.120917e+01,113.1076
-1.145490e+01,113.9810
-4.463529e-01,329.6450
-3.813622e+00,332.9936
-4.344376e+00,352.4734
-4.778541e+00,368.2116
-1.006608e+00,330.8992
-2.584924e+00,337.3614
-1.189040e+01,373.9583
-1.239812e+01,453.2485
-1.216846e+01,170.1645
-1.242547e+01,117.2294
-1.286764e+01,118.5980
-1.070469e+01,430.2649
-1.248153e+01,455.2253
-1.290045e+01,478.0031
-1.310807e+01,473.9645
-4.779479e+00,363.7013
-6.329288e+00,387.8248
-7.274490e+00,396.9297
-1.316993e+01,120.4896
-1.265788e+01,119.2962
-1.326839e+01,121.5593
-1.199235e+01,115.9779
-1.155164e+01,114.1746
-9.821527e+00,107.9779
-7.648814e+00,146.7175
-1.063833e+01,110.6134
-7.467587e+00,156.6977
-1.030403e+01,110.4393
-9.841260e+00,107.8659
-9.602590e+00,107.7183
-1.077511e+01,110.9602
-1.114987e+01,112.3099
-1.012084e+01,108.3190
-9.828746e+00,105.7991
-1.082452e+01,110.7773
-1.029970e+01,109.4705
-2.733553e+00,343.9350
-4.827194e+00,302.0427
-7.421829e+00,187.5118
-1.148320e+01,113.4731
-6.374066e-01,355.8350
-3.046968e+00,335.1005
-3.954629e+00,349.2855
-4.465781e+00,351.1158
-1.245251e-01,334.9212
-1.255363e+01,247.5446
-1.326362e+01,479.6587
-1.263058e+01,202.1645
-1.306832e+01,120.2347
-1.362355e+01,123.2663
-1.120548e+01,467.2477
-1.319650e+01,480.9605
-7.380508e+00,408.2598
-1.340114e+01,485.2491
-1.373598e+01,489.7030
-1.402409e+01,498.7727
-4.674650e+00,359.3942
-4.140980e+00,360.6292
-4.381975e+00,348.0325
-4.765468e+00,366.4782
-6.027079e+00,381.5117
-1.336844e+01,121.7235
-1.294736e+01,119.2576
-1.367513e+01,123.7086
-1.239004e+01,117.3229
-1.171521e+01,115.2060
-1.003009e+01,111.4413
-1.085456e+01,111.7926
-1.035444e+01,109.5224
-9.630900e+00,108.7858
-7.994687e+00,129.4416
-9.301561e+00,105.0546
-9.518507e+00,105.6151
-9.316798e+00,105.1314
-9.645480e+00,106.6192
-1.120391e+01,112.8381
-1.026079e+01,108.8113
-9.823175e+00,105.7396
-1.117651e+01,112.6221
-1.083339e+01,110.5400
-1.700250e+00,321.7613
-4.928382e+00,303.5062
-3.440439e+00,333.4934
-6.751991e+00,203.2163
-2.686147e+00,342.8054
-2.591596e-01,339.1439
-1.330430e+01,296.7574
-1.412628e+01,431.0285
-1.364498e+01,161.9221
-1.411531e+01,124.6548
-1.437527e+01,126.0797
-1.397520e+01,123.4495
-1.094674e+01,468.7801
-1.359104e+01,484.4931
-7.427211e+00,390.4237
-9.612175e+00,445.6131
-1.381025e+01,492.2138
-1.420667e+01,500.3347
-1.456349e+01,504.8431
-1.490188e+01,441.7743
-1.472942e+01,369.7598
-5.428633e+00,364.4552
-3.479027e+00,330.3545
-9.225722e-01,322.0803
-3.359887e+00,341.7840
-6.152270e+00,373.3297
-7.318349e+00,390.4331
-7.337141e+00,391.3284
-1.329718e+01,121.8798
-1.309717e+01,119.5109
-1.273891e+01,118.3447
-1.357647e+01,122.5544
-1.238209e+01,118.2370
-1.208623e+01,116.6471
-1.183953e+01,114.6150
-1.026471e+01,108.3871
-1.007105e+01,108.4796
-9.712243e+00,107.2629
-8.780278e+00,104.3193
-9.682947e+00,105.9889
-9.902581e+00,106.3642
-9.472296e+00,105.7254
-9.791037e+00,109.0362
-9.946693e+00,111.7679
-1.073847e+01,109.5054
-9.809500e+00,108.8622
-1.043030e+01,110.0276
-9.731647e+00,107.0470
-1.186039e+01,115.2936
-1.119605e+01,113.0568
-1.774819e+00,344.5750
-5.923730e+00,205.4171
-3.998924e+00,279.7722
-7.995435e+00,105.0953
-6.525032e+00,211.1995
-1.435090e+01,300.2305
-1.464261e+01,140.9433
-1.466695e+01,127.3532
-1.454250e+01,125.9362
-1.404277e+01,123.5687
-1.351141e+01,122.2469
-1.250486e+01,451.4360
-1.398750e+01,470.9751
-1.426785e+01,495.9234
-9.058376e+00,422.8402
-1.056016e+01,455.5719
-1.457926e+01,487.4625
-1.493794e+01,508.7706
-1.521019e+01,385.0122
-1.541631e+01,188.7705
-1.511512e+01,240.7458
-1.516289e+01,129.8210
-8.047108e+00,393.5935
-2.203477e+00,331.4751
2.658069e-01,338.0151
-3.941980e+00,365.9906
-6.036597e+00,381.1364
-8.521388e+00,398.9675
-1.047843e+01,441.0111
-1.333210e+01,121.0742
-1.304124e+01,120.4600
-1.267418e+01,118.6665
-1.240263e+01,118.0514
-1.212763e+01,117.1083
-9.659513e+00,107.0482
-9.436244e+00,105.6219
-9.508205e+00,106.7991
-9.529420e+00,106.3905
-9.293187e+00,105.6595
-8.438407e+00,102.7388
-9.179104e+00,116.8008
-9.094183e+00,109.9013
-8.339952e+00,212.8547
-1.053395e+01,105.9762
-9.946924e+00,105.5134
-8.965214e+00,104.5858
-1.100125e+01,154.3606
-9.812654e+00,156.7975
-1.186075e+01,133.9372
-1.142805e+01,180.4655
-1.333939e+00,344.5750
-4.290216e+00,314.6084
-2.439711e+00,353.7300
-7.030920e+00,99.9841
-5.331891e+00,185.6146
-4.923465e+00,281.8604
-1.511848e+01,130.0127
-1.493908e+01,128.4549
-1.454284e+01,126.3244
-1.412775e+01,123.7505
-1.370322e+01,123.3095
-1.339215e+01,121.2097
-1.309301e+01,119.9843
-1.358022e+01,465.6069
-1.433611e+01,472.1655
-1.424079e+01,490.8900
-1.445109e+01,441.5349
-1.267787e+01,472.7117
-1.511560e+01,317.0832
-1.552288e+01,242.2090
-1.574777e+01,149.1301
-1.556520e+01,131.0713
-1.589156e+01,132.2937
-1.553032e+01,131.1460
-1.857202e+00,338.0543
-3.940582e+00,359.7755
2.835693e-01,342.1652
-6.426990e+00,384.7880
-8.233618e+00,406.1925
-8.975924e+00,419.6038
-1.054574e+01,438.4914
-1.179089e+01,456.3807
-1.277871e+01,118.3655
-1.246278e+01,117.9118
-1.205508e+01,115.9260
-9.364047e+00,106.1082
-8.705001e+00,103.8331
-9.119784e+00,104.5862
-9.065898e+00,104.8210
-8.699777e+00,103.1913
-7.938097e+00,101.0075
-7.189810e+00,98.5225
-8.319710e+00,274.4667
-6.614566e+00,223.8984
-9.172694e+00,110.5646
-9.160027e+00,105.0509
-8.945277e+00,199.3564
-7.946207e+00,240.9400
-7.089864e+00,321.8093
-8.575923e+00,103.7898
-8.601919e+00,102.7254
-1.086502e+01,158.5823
-1.189450e+01,115.4732
-1.140926e+01,114.6807
-3.427382e+00,348.8200
-5.313138e+00,152.2306
-4.788004e+00,247.4172
-2.862347e+00,348.8200
-1.529928e+01,130.1448
-1.489024e+01,127.7912
-1.463817e+01,126.0431
-1.426435e+01,124.5554
-1.378256e+01,123.0900
-1.347862e+01,121.7942
-1.309400e+01,120.4524
-1.281217e+01,119.1887
-1.251520e+01,117.6249
-1.396300e+01,463.1070
-1.275440e+01,400.2837
-1.296852e+01,159.8185
-1.493049e+01,145.1742
-1.300168e+01,471.5431
-1.562075e+01,132.4305
-1.606094e+01,133.8454
-1.629166e+01,134.5164
-1.584769e+01,132.1020
-1.626940e+01,134.8061
-1.565636e+01,131.7819
-4.094275e+00,356.7834
-6.413640e+00,378.5297
2.398674e-01,346.2709
-6.552931e-01,346.7246
-3.131044e+00,341.2678
-8.642985e+00,408.6482
-1.035738e+01,434.4448
-1.111628e+01,450.1071
-1.228360e+01,458.7564
-1.282879e+01,448.8156
-1.220159e+01,115.6693
-8.693275e+00,104.5955
-7.906707e+00,100.3898
-7.367223e+00,98.8204
-8.715636e+00,102.8297
-8.412476e+00,102.9068
-8.836127e+00,102.9754
-5.705394e+00,115.2312
-8.497146e+00,246.9957
-9.359755e+00,118.4117
-8.871965e+00,104.4977
-9.443134e+00,109.4872
-1.003932e+01,113.3159
-9.830327e+00,111.0219
-8.433201e+00,180.2718
-8.473163e+00,103.9592
-8.944998e+00,103.3011
-8.851320e+00,102.2964
-1.190381e+01,116.6976
-1.155766e+01,114.9654
-2.379074e+00,279.8700
-2.518791e+00,197.7662
-1.299016e+00,194.9700
-1.539678e+01,130.2023
-1.481778e+01,128.2014
-1.450822e+01,126.5230
-1.396336e+01,124.6202
-1.353338e+01,122.7096
-1.339414e+01,121.7525
-1.280295e+01,120.4571
-1.256316e+01,119.4245
-1.219965e+01,117.9294
-1.191615e+01,329.2717
-1.242888e+01,173.7900
-1.472236e+01,126.6806
-1.556612e+01,131.2215
-1.310235e+01,233.2034
-1.620840e+01,134.0107
-1.650070e+01,135.5498
-1.652572e+01,135.7852
-1.604707e+01,132.7507
-1.640341e+01,135.4314
-1.580833e+01,131.3163
-1.539048e+01,130.2360
-3.261659e+00,360.7402
-5.735293e+00,359.0812
-6.024197e+00,366.3585
-9.008687e+00,398.9656
2.632639e-01,346.5376
-1.088521e+01,433.8429
-1.150549e+01,444.6670
-1.299072e+01,445.8419
-1.339739e+01,433.4349
-1.200412e+01,465.5722
-1.388395e+01,348.5630
-1.434633e+01,167.0708
-7.812574e+00,100.2491
-6.249792e+00,95.8793
-6.318300e+00,95.5045
-8.291158e+00,101.3388
-7.642809e+00,99.2943
-8.132078e+00,101.3228
-4.123814e+00,167.2557
-1.042744e+01,109.6453
-9.783743e+00,110.4977
-9.475280e+00,106.4460
-9.451998e+00,108.0785
-9.174038e+00,104.9467
-8.861049e+00,103.8559
-1.105135e+01,112.4461
-8.468828e+00,101.6163
-7.933405e+00,101.3462
-1.167537e+01,115.4657
-1.165042e+01,114.5764
-1.130890e+01,113.2728
-1.826522e+00,204.0824
-1.469295e+01,127.2028
-1.417576e+01,126.3612
-1.373220e+01,123.6717
-1.303699e+01,120.7076
-1.328910e+01,121.1796
-1.238955e+01,117.8501
-1.261633e+01,118.1609
-1.211996e+01,115.6844
-1.383844e+01,125.1970
-1.488238e+01,128.9384
-1.566715e+01,131.1283
-1.633530e+01,133.9248
-1.484719e+01,129.0883
-1.655075e+01,135.8425
-1.657577e+01,136.0526
-1.655080e+01,135.9648
-1.595574e+01,132.6297
-1.629122e+01,134.6322
-1.513254e+01,129.0478
-1.899699e+00,354.8101
-3.489843e+00,339.7428
9.412491e-01,344.4730
-6.670351e+00,396.9370
-9.777142e+00,417.1571
-2.902330e+00,334.7737
-5.300619e+00,365.3370
-8.904147e+00,413.1325
-1.137091e+01,450.4944
-1.332242e+01,462.2245
-1.425356e+01,336.1004
-1.291322e+01,471.8570
-1.496010e+01,147.7664
-1.533420e+01,131.0098
-6.085512e+00,107.9946
-3.937542e+00,167.6453
-2.378546e+00,183.4357
-1.475117e+00,197.3838
-7.504577e+00,99.1489
-5.691075e+00,115.6638
-7.399009e+00,98.3824
-1.072907e+01,111.5047
-1.005464e+01,109.0712
-9.559423e+00,106.8516
-9.274807e+00,105.4169
-9.045056e+00,104.1435
-8.338553e+00,101.8509
-7.876857e+00,100.0297
-7.329626e+00,98.6656
-1.176161e+01,115.5745
-1.151073e+01,114.8888
-1.087466e+01,111.8147
-1.396158e+01,123.3687
-1.425584e+01,126.8267
-1.350918e+01,122.0530
-1.299810e+01,120.0689
-1.337575e+01,121.8001
-1.246804e+01,117.9743
-1.299865e+01,120.2973
-1.230207e+01,117.5315
-1.530652e+01,131.0750
-1.600285e+01,133.6206
-1.654075e+01,136.3537
-1.665086e+01,136.4185
-1.579876e+01,133.1415
-1.665086e+01,136.4385
-1.660086e+01,136.2844
-1.646628e+01,135.3368
-1.557115e+01,131.8671
-1.589216e+01,131.7944
-1.460008e+01,126.9083
7.180393e-01,350.9391
1.795122e+00,333.8614
-3.823785e+00,338.8920
-7.678726e+00,386.8497
-8.151838e+00,407.3833
-1.024631e+01,423.1482
-1.213973e+01,452.6807
-1.400302e+01,489.2998
-1.478898e+01,410.7060
-1.516530e+01,164.2086
-1.317927e+01,472.5156
-1.557294e+01,139.8213
-1.571854e+01,135.8139
-1.611022e+01,135.8623
-1.624715e+01,133.2921
-2.006574e+00,163.1395
-5.241858e+00,95.8408
-1.611151e+00,205.1019
-5.140445e+00,89.5247
-1.021118e+01,109.5399
-1.034706e+01,109.0124
-9.747882e+00,106.7379
-9.412083e+00,105.8692
-8.931269e+00,104.7517
-8.406809e+00,102.5372
-7.829069e+00,100.5139
-7.228487e+00,98.9540
-5.405181e+00,107.2936
-1.191428e+01,115.8788
-1.163226e+01,114.5163
-1.162610e+01,114.0304
-1.367640e+01,123.0976
-1.382832e+01,123.9757
-1.347583e+01,122.3344
-1.342575e+01,121.6228
-1.347585e+01,122.1974
-1.303085e+01,120.0592
-1.347575e+01,121.9111
-1.282863e+01,119.0587
-1.638140e+01,135.6699
-1.673042e+01,136.8109
-1.685094e+01,137.1904
-1.682595e+01,137.1624
-1.660076e+01,135.4960
-1.669801e+01,136.9335
-1.657299e+01,136.1261
-1.654601e+01,136.0082
-1.598912e+01,134.2799
-1.486293e+01,128.1841
-1.526080e+01,131.0901
-1.399522e+01,124.5448
-5.079996e-01,342.1558
-3.660102e+00,356.6746
1.884360e+00,335.3103
-6.609957e+00,399.5420
-8.973249e+00,410.1495
-1.111343e+01,443.7692
-1.300346e+01,467.6639
-1.392496e+01,492.3167
-1.535797e+01,415.5960
-1.479139e+01,511.0384
-1.607293e+01,163.5313
-1.629387e+01,137.4443
-1.591816e+01,457.9891
-1.650073e+01,135.9877
-1.670742e+01,136.2580
-1.616874e+00,228.0043
-3.105141e+00,236.3641
-1.035603e+01,110.4537
-1.208279e+01,117.0601
-1.146108e+01,115.3906
-9.161901e+00,104.0805
-8.324108e+00,103.1626
-1.004474e+01,108.7747
-9.174045e+00,104.4647
-7.916518e+00,100.2944
-7.202471e+00,97.3807
-7.144751e+00,95.9525
-5.486122e+00,109.1064
-2.150647e+00,161.1571
-1.270990e+01,118.3142
-1.269479e+01,119.1800
-1.350904e+01,122.3237
-1.358413e+01,123.4685
-1.347593e+01,122.2146
-1.347585e+01,122.1439
-1.347598e+01,122.2108
-1.347595e+01,122.0824
-1.340861e+01,121.8661
-1.344235e+01,122.0707
-1.326340e+01,120.5692
-1.689284e+01,137.3554
-1.723399e+01,139.1156
-1.717378e+01,139.0176
-1.704081e+01,137.8939
-1.712633e+01,138.6177
-1.678152e+01,137.0826
-1.696337e+01,138.3122
-1.653619e+01,135.3727
-1.601505e+01,133.2077
-1.673246e+01,136.9555
-1.534646e+01,129.2108
-1.469949e+01,127.8735
-1.411444e+01,124.5853
-1.365108e+01,123.8860
-3.595110e+00,353.6152
-5.402130e+00,372.3226
7.318253e-01,334.9461
-7.405020e+00,397.4238
-9.507852e+00,410.5284
-1.187903e+01,452.9764
-1.311238e+01,477.0008
-1.374493e+01,498.4097
-1.547975e+01,518.4025
-1.425508e+01,500.2678
-1.645319e+01,271.3873
-1.668315e+01,195.3746
-1.640144e+01,538.8598
-1.664752e+01,424.6191
-1.588493e+01,530.9538
-1.693035e+01,137.9502
-1.710755e+01,138.3489
-1.100102e+01,111.5938
-1.209313e+01,115.9747
-1.147998e+01,112.4716
-8.438546e+00,102.7782
-7.920132e+00,101.2620
-9.430978e+00,103.9665
-8.582264e+00,103.3000
-1.040028e+01,108.6733
-7.210208e+00,98.6904
-5.282647e+00,178.2373
-2.065371e+00,172.2761
-1.104700e+00,228.9970
-1.307108e+01,119.5028
-1.197163e+01,115.3016
-1.347605e+01,122.4816
-1.347611e+01,122.7663
-1.347608e+01,122.3154
-1.337370e+01,121.2720
-1.339565e+01,121.5494
-1.320190e+01,119.9483
-1.327002e+01,118.7936
-1.300068e+01,119.0924
-1.264607e+01,116.8801
-1.722605e+01,139.0920
-1.744200e+01,139.9171
-1.739884e+01,140.0486
-1.738259e+01,140.0398
-1.747610e+01,140.1916
-1.700262e+01,138.1002
-1.742612e+01,140.0251
-1.724220e+01,139.5413
-1.670434e+01,136.9375
-1.619091e+01,135.9136
-1.507971e+01,131.8650
-1.469566e+01,129.0524
-1.405020e+01,126.4257
-1.359884e+01,123.0478
-1.347619e+01,122.3905
-1.347613e+01,122.2691
-2.298910e+00,348.1036
-3.446529e+00,343.4322
-3.132321e-02,333.9532
-5.205713e+00,369.7887
-7.291781e+00,395.8353
-9.491860e+00,424.0340
-1.146780e+01,463.3685
-1.297503e+01,487.2647
-1.471474e+01,513.3741
-1.178286e+01,456.8659
-1.354447e+01,484.0789
-1.694894e+01,270.1870
-1.690270e+01,545.9498
-1.606745e+01,523.7433
-1.687446e+01,540.0240
-1.481497e+01,495.7564
-1.716967e+01,142.8354
-1.732688e+01,139.7936
-1.745191e+01,140.3683
-1.082773e+01,109.7116
-9.925896e+00,108.6965
-9.330645e+00,105.4634
-1.029921e+01,110.7239
-7.437983e+00,116.5488
-7.940821e+00,99.8778
-8.261930e+00,98.7847
-5.204547e+00,142.2528
-1.942568e+00,214.7611
-1.166652e+01,114.7045
-1.066070e+01,110.5493
-1.330991e+01,120.8165
-1.288161e+01,119.8104
-1.295991e+01,120.0125
-1.277615e+01,119.7515
-1.233314e+01,117.2425
-1.262288e+01,118.5719
-1.197231e+01,116.2838
-1.745115e+01,140.3693
-1.747615e+01,140.4471
-1.696725e+01,138.1792
-1.744543e+01,140.2746
-1.737043e+01,139.9350
-1.727337e+01,139.4594
-1.673023e+01,136.4588
-1.643610e+01,135.6411
-1.569675e+01,133.3606
-1.485271e+01,129.9054
-1.416078e+01,125.5051
-1.366969e+01,123.1874
-1.352627e+01,122.2467
-1.336540e+01,121.5472
-1.345130e+01,121.9253
-1.040632e+00,341.9115
-1.292454e+00,322.3591
1.366346e-01,332.0865
-7.907909e-01,315.3258
-3.395554e+00,341.3247
-3.851098e+00,334.6769
-5.247164e+00,371.9877
-6.861811e+00,366.7832
-1.272149e+01,492.1485
-9.317330e+00,405.1775
-1.724434e+01,553.1712
-1.736969e+01,296.0301
-1.694767e+01,547.8156
-1.736669e+01,555.3072
-1.625533e+01,524.2966
-1.702974e+01,546.8506
-1.420606e+01,481.5592
-1.069393e+01,440.3843
-1.743969e+01,144.8722
-1.747044e+01,140.9303
-1.746474e+01,140.4500
-1.747620e+01,140.4500
-1.747620e+01,140.4500
-9.578298e+00,111.2362
-8.593085e+00,106.6469
-7.495123e+00,104.4563
-6.039671e+00,99.3189
-5.115792e+00,112.2953
-4.169316e+00,113.0194
-1.714081e+00,269.2849
-1.174034e+01,114.5187
-1.094519e+01,113.4366
-9.846952e+00,109.6765
-1.304710e+01,120.6172
-1.269900e+01,118.7114
-1.286214e+01,119.1685
-1.277828e+01,118.9237
-1.244857e+01,117.2163
-1.239624e+01,118.0031
-1.209962e+01,116.4308
-1.164621e+01,115.6618
-1.747334e+01,140.4500
-1.719282e+01,138.7579
-1.747339e+01,140.3029
-1.747633e+01,140.4132
-1.632258e+01,134.0002
-1.692331e+01,136.3155
-1.468266e+01,128.2787
-1.539040e+01,131.6615
-1.399708e+01,124.5803
-1.370135e+01,123.4590
-1.352636e+01,122.5510
-1.345132e+01,122.0208
-1.326467e+01,121.7937
-1.347639e+01,122.2570
-1.347636e+01,122.1908
2.352217e-02,348.1516
2.741470e-01,325.4444
7.699851e-01,340.1786
2.612525e-01,311.8613
