x,y,id,z
670826.5346,4752492.1037,1,-2.6578
671102.9805,4752104.1695,2,-3.1164
670912.5210,4752071.8300,3,-4.1726
670710.7197,4752227.0925,4,-3.1821
671242.7647,4752016.3600,5,-2.4753
670480.6070,4752291.3933,6,-1.4550
671129.4326,4751746.4345,7,-1.9592
670958.9347,4751664.7267,8,-2.5858
670817.0844,4751786.8142,9,-3.7725
671252.0653,4751831.2433,10,-2.1976
670641.1450,4751931.9600,11,-3.6628
670479.3222,4751797.8470,12,-3.3665
670321.5034,4752087.1252,13,-1.5942
671235.9657,4751528.8400,14,-1.5965
671179.9690,4751313.1463,15,-1.6816
670965.9917,4751423.1433,16,-1.9862
670830.7595,4751240.3431,17,-2.0175
670640.0152,4751497.7344,18,-3.5910
670284.4053,4751586.5998,19,-2.6901
670133.0222,4751872.2621,20,-1.4990
670438.4493,4751294.1300,21,-3.4229
671061.9477,4750992.5219,22,-2.0976
671495.1047,4750741.6533,23,-2.9810
671242.0407,4750759.5267,24,-2.4708
670628.5840,4750989.0907,25,-2.8295
670836.1342,4750723.4998,26,-3.0268
670118.9513,4751444.5133,27,-2.3792
669981.4076,4751612.6581,28,-1.7316
670268.0853,4751113.8167,29,-3.1401
670054.9529,4751164.6980,30,-2.6301
670450.2820,4750798.1467,31,-3.8217
670292.6917,4750886.3467,32,-4.4916
671109.9428,4750450.3606,33,-3.4480
671631.1063,4750396.7900,34,-3.7000
671385.8149,4750128.1670,35,-2.6600
671993.2892,4750263.0652,36,-3.6594
670701.2470,4750458.0167,37,-2.6049
670467.1323,4750448.2324,38,-3.2249
670862.1832,4750190.8524,39,-3.6759
669858.1880,4751230.9000,40,-1.9897
669849.6233,4751418.4933,41,-1.7435
670128.7497,4750707.0680,42,-4.8189
669989.3987,4750900.9700,43,-3.2212
669860.5357,4750809.2667,44,-3.3089
669671.1002,4750875.8121,45,-1.8201
669729.3317,4751124.0267,46,-1.3090
670224.8643,4750462.4833,47,-5.0334
671074.6305,4749844.3290,48,-4.3233
671843.0433,4749670.1511,49,-4.8248
671538.6050,4749803.4900,50,-2.4535
