DEPTH,SAL,TEMP,SSOL1,SSOL2,DO,pH,DIC,POC,DOC,PO4,POP,DOP,PIP,NH4,NO3,PON,DON,PIN,SiO2,CHLOR,FDIAT,CYANO,CRYPT,MDIAT,IP_CHL,IP_FDI,IP_CYA,IP_CRY,IP_MDI,IN_CHL,IN_FDI,IN_CYA,IN_CRY,IN_MDI
 0.00000,   0.050,   2.080,   2.000,   0.000, 210.938,   8.140,1785.000,  21.667, 208.333,   0.138,   0.018,   0.074,   0.032,   1.002,  16.696,   0.668,   1.836,   0.071,   6.100,   5.917,  19.750,   5.917,  27.667, 138.250,   0.002,   0.004,   0.001,   0.005,   0.027,   0.046,   0.068,   0.020,   0.095,   0.474
 5.00000,   0.050,   2.080,   2.000,   0.000, 210.938,   8.140,1785.000,  21.667, 208.333,   0.138,   0.018,   0.074,   0.032,   1.002,  16.696,   0.668,   1.836,   0.071,   6.100,   5.917,  19.750,   5.917,  27.667, 138.250,   0.002,   0.004,   0.001,   0.005,   0.027,   0.046,   0.068,   0.020,   0.095,   0.474
10.00000,   0.050,   2.070,   2.000,   0.000, 210.938,   8.140,1785.000,  21.667, 208.333,   0.138,   0.018,   0.074,   0.032,   1.002,  16.696,   0.668,   1.836,   0.071,   6.100,   5.917,  19.750,   5.917,  27.667, 138.250,   0.002,   0.004,   0.001,   0.005,   0.027,   0.046,   0.068,   0.020,   0.095,   0.474
20.00000,   0.050,   2.100,   2.000,   0.000, 210.938,   8.140,1785.000,  21.667, 208.333,   0.138,   0.018,   0.074,   0.032,   1.002,  16.696,   0.668,   1.836,   0.071,   6.100,   5.917,  19.750,   5.917,  27.667, 138.250,   0.002,   0.004,   0.001,   0.005,   0.027,   0.046,   0.068,   0.020,   0.095,   0.474
30.00000,   0.050,   2.150,   2.000,   0.000, 210.938,   8.140,1785.000,  21.667, 208.333,   0.138,   0.018,   0.074,   0.032,   1.002,  16.696,   0.668,   1.836,   0.071,   6.100,   5.917,  19.750,   5.917,  27.667, 138.250,   0.002,   0.004,   0.001,   0.005,   0.027,   0.046,   0.068,   0.020,   0.095,   0.474
