! West Basin - Station ER_59; file prepared by Michael Markowiak
! 2012099.000																																			
34	data sets																																		
3	number of depths																																		
67	13	"i,j"																																	
DEPTH	WTR_TEMP	SALINITY	SSOL1	SSOL2	DO	PH	DIC	POCL	DOCL	PO4	POPL	DOPL	PIP	NH4	NO3	PONL	DONL	PIN	SiO2	CHLOR	FDIAT	CYANO	CRYPT	MDIAT	IP_CHL	IP_FDI	IP_CYA	IP_CRY	IP_MDI	IN_CHL	IN_FDI	IN_CYA	IN_CRY	IN_MDI	
0	10.09	0.05	10.0	0.0	10.75069333	7.94	20.76	0.34	3.5	0.021361333	0.006158309	0.021361333	0.006158309	0.0414	0.69	0.0276	0.0759	0.001	1.714333333	0.089653333	0.298844444	0.089653333	0.418382222	2.091911111	8.96533E-05	0.000149422	4.48267E-05	0.000209191	0.001045956	0.00095	0.00141	0.00042	0.00197	0.00987
3	10.09	0.05	10.0	0.0	10.75069333	7.94	20.76	0.34	3.5	0.021361333	0.006158309	0.021361333	0.006158309	0.0414	0.69	0.0276	0.0759	0.001	1.714333333	0.089653333	0.298844444	0.089653333	0.418382222	2.091911111	8.96533E-05	0.000149422	4.48267E-05	0.000209191	0.001045956	0.00095	0.00141	0.00042	0.00197	0.00987
5	10.09	0.05	10.0	0.0	10.75069333	7.94	20.76	0.34	3.5	0.021361333	0.006158309	0.021361333	0.006158309	0.0414	0.69	0.0276	0.0759	0.001	1.714333333	0.089653333	0.298844444	0.089653333	0.418382222	2.091911111	8.96533E-05	0.000149422	4.48267E-05	0.000209191	0.001045956	0.00095	0.00141	0.00042	0.00197	0.00987
