x,y,id,z
670813.5283,4752518.5420,1,-1.8928
671143.7003,4752435.2822,2,-2.9892
670680.7378,4752270.1748,3,-2.4111
670913.0227,4752159.1000,4,-4.3407
671088.7130,4752207.2967,5,-3.7254
670456.6393,4752313.0367,6,-0.5000
671206.6523,4752070.6533,7,-3.0217
670616.9070,4751999.7000,8,-2.8718
670849.8751,4751909.4018,9,-3.9014
670298.5413,4752207.3067,10,-0.5000
670216.8812,4751972.4576,11,-0.5000
670456.6283,4751878.0933,12,-2.5651
671157.1564,4751838.6807,13,-2.7086
670516.2202,4751593.3746,14,-3.7823
670795.3613,4751682.8900,15,-3.8287
671033.1261,4751552.9481,16,-2.0939
670043.1400,4751759.7767,17,-0.5000
670160.7553,4751519.5239,18,-1.7275
671239.9470,4751452.6567,19,-1.5350
670649.5447,4751309.8233,20,-3.7151
670862.7660,4751298.2200,21,-1.7195
670259.1665,4751084.0974,22,-3.9439
670545.2170,4751092.6733,23,-3.9046
671048.5608,4751051.8211,24,-1.8081
671238.3323,4751262.2933,25,-1.3792
669869.3103,4751343.3533,26,-0.5000
669932.5670,4751086.4767,27,-1.9997
670762.5161,4750796.9460,28,-3.3903
670196.2770,4750622.5321,29,-4.1365
670535.9087,4750572.5733,30,-4.1922
669721.1467,4750746.4615,31,-1.8300
671378.1435,4750742.5715,32,-2.4926
671039.3932,4750438.5539,33,-3.0912
670695.0144,4750189.6228,34,-4.0084
670100.7817,4750233.7633,35,-3.3612
670344.0003,4750024.7833,36,-3.7053
669689.7900,4750195.7271,37,-3.7456
669269.8250,4750197.5567,38,-1.6126
671615.9193,4750402.1200,39,-2.1715
671942.5573,4750404.0400,40,-2.0312
671376.9969,4750075.0967,41,-3.0465
670966.7904,4749737.2611,42,-4.8026
670411.6317,4749609.3932,43,-4.2200
669821.6485,4749620.6416,44,-5.1379
669130.2523,4749879.8733,45,-3.9638
669292.4448,4749492.0179,46,-6.4384
668672.6927,4749785.5375,47,-1.3007
671756.4072,4749690.4959,48,-3.9358
672222.5464,4750063.3998,49,-1.9988
671300.2141,4749336.8834,50,-4.6786
670461.1140,4749172.9667,51,-5.0775
670831.7893,4748932.9270,52,-6.2815
669976.5613,4749057.2976,53,-5.6783
669383.0825,4748956.0824,54,-6.9623
668720.8923,4749265.5154,55,-4.9589
668796.6517,4748745.8056,56,-7.3564
668100.9396,4749604.2687,57,-0.5000
668153.4622,4749067.4642,58,-3.1920
672086.5153,4749414.0433,59,-3.8239
672546.3824,4749592.1064,60,-1.3974
671587.3343,4748862.3782,61,-5.5136
672075.2931,4748984.7117,62,-4.2896
671218.7637,4748670.9667,63,-7.3243
670042.9450,4748474.2761,64,-7.1986
670606.3069,4748352.9046,65,-8.1174
671106.8460,4748326.6933,66,-8.7548
669474.4408,4748400.6335,67,-7.3431
668870.2869,4748205.3567,68,-6.8215
668191.2880,4748520.1528,69,-6.0386
668244.9539,4747981.3976,70,-6.9653
667546.4783,4749445.2152,71,-0.5000
667574.0147,4748900.1165,72,-2.0256
667582.8692,4748360.9536,73,-4.6002
672485.8593,4748925.8267,74,-1.7110
672718.0740,4749203.9867,75,-0.5557
