ID,BIV_num
1,818.9600
2,818.9600
3,818.9600
4,818.9600
5,818.9600
6,794.5800
7,818.9600
8,818.9600
9,818.9600
10,818.9600
11,794.5800
12,794.5800
13,794.5800
14,818.9600
15,818.9600
16,818.9600
17,818.9600
18,818.9600
19,794.5800
20,794.5800
21,794.5800
22,818.9600
23,818.9600
24,818.9600
25,818.9600
26,818.9600
27,794.5800
28,794.5800
29,794.5800
30,794.5800
31,794.5800
32,794.5800
33,818.9600
34,818.9600
35,818.9600
36,813.9000
37,818.9600
38,794.5800
39,818.9600
40,794.5800
41,794.5800
42,794.5800
43,794.5800
44,794.5800
45,780.8200
46,780.8200
47,794.5800
48,818.9600
49,813.9000
50,818.9600
51,818.9600
52,773.4400
53,773.4400
54,818.9600
55,794.5800
56,794.5800
57,794.5800
58,818.9600
59,794.5800
60,794.5800
61,780.8200
62,780.8200
63,780.8200
64,818.9600
65,818.9600
66,813.9000
67,773.4400
68,773.4400
69,813.9000
70,773.4400
71,773.4400
72,794.5800
73,794.5800
74,818.9600
75,794.5800
76,794.5800
77,794.5800
78,780.8200
79,780.8200
80,780.8200
81,780.8200
82,818.9600
83,813.9000
84,813.9000
85,773.4400
86,773.4400
87,773.4400
88,773.4400
89,773.4400
90,775.8621
91,800.2040
92,809.9160
93,794.5800
94,794.5800
95,794.5800
96,814.8240
97,780.8200
98,780.8200
99,794.5800
100,780.8200
101,780.8200
102,780.8200
103,779.7300
104,815.7866
105,827.3077
106,766.2600
107,772.1954
108,766.2600
109,766.2600
110,780.9732
111,796.5589
112,778.1878
113,778.0349
114,829.7767
115,798.6432
116,794.5800
117,794.5800
118,806.9264
119,814.1258
120,780.8200
121,780.8200
122,780.8200
123,780.8200
124,780.8200
125,779.7300
126,779.7300
127,779.7300
128,843.2605
129,853.4710
130,856.8526
131,789.4097
132,814.7434
133,758.9400
134,777.2986
135,823.5819
136,808.2358
137,834.6925
138,832.7148
139,841.0581
140,855.7793
141,803.0213
142,782.8371
143,816.1627
144,817.4041
145,774.7524
146,780.8200
147,838.7796
148,780.8200
149,780.8200
150,780.8200
151,796.4100
152,779.7300
153,779.7300
154,779.7300
155,855.0370
156,858.4616
157,817.5800
158,827.9026
159,750.1300
160,778.5533
161,807.8877
162,834.1773
163,839.1147
164,841.8279
165,844.5117
166,856.0695
167,867.7442
168,851.9114
169,799.2334
170,789.0318
171,806.1180
172,824.1253
173,825.0161
174,829.9523
175,814.4143
176,782.6727
177,757.9054
178,837.4978
179,779.7300
180,750.2167
181,796.4100
182,796.4100
183,796.4100
184,779.7300
185,779.7300
186,859.2847
187,854.1797
188,846.8313
189,752.4100
190,796.9874
191,835.3122
192,867.2284
193,866.5442
194,860.0491
195,864.0436
196,838.7790
197,869.0604
198,822.1667
199,490.4141
200,680.6807
201,788.7354
202,785.5246
203,798.7358
204,828.8691
205,844.0417
206,830.1634
207,784.4758
208,780.7885
209,815.0174
210,774.6663
211,636.8800
212,796.4100
213,796.4100
214,796.4100
215,726.7560
216,765.4782
217,774.7295
218,563.9688
219,846.3923
220,843.7721
221,703.4800
222,756.4477
223,789.3667
224,790.0930
225,862.7728
226,866.5332
227,816.7515
228,748.2545
229,667.5329
230,438.6751
231,330.0560
232,228.4223
233,763.2611
234,761.2208
235,789.9899
236,843.0905
237,824.2111
238,843.9615
239,870.7858
240,717.1090
241,749.7584
242,368.0203
243,636.8800
244,636.8800
245,696.8346
246,775.2992
247,722.1039
248,760.3786
249,765.7117
250,740.3488
251,730.8789
252,220.8070
253,496.0709
254,699.9845
255,529.7532
256,541.6513
257,703.4800
258,760.7433
259,703.4800
260,636.7572
261,617.2751
262,756.0034
263,433.8387
264,334.3869
265,380.2090
266,228.2073
267,228.2950
268,221.8200
269,228.9237
270,772.8456
271,802.2870
272,805.4711
273,794.7311
274,872.4794
275,837.5271
276,510.8883
277,395.2208
278,304.6095
279,636.8800
280,636.8800
281,647.3605
282,669.8334
283,673.5135
284,739.9205
285,722.1613
286,716.8628
287,698.1946
288,750.8064
289,741.6369
290,790.9061
291,233.7312
292,371.1107
293,213.0371
294,456.3293
295,309.0431
296,238.5699
297,356.6020
298,762.4100
299,762.4100
300,433.6000
301,743.4950
302,221.1607
303,255.3668
304,226.9752
305,227.2024
306,226.3301
307,227.6191
308,228.3255
309,231.5304
310,230.3775
311,799.5459
312,801.7496
313,784.8945
314,754.5207
315,822.5405
316,289.5246
317,615.1220
318,229.0443
319,234.9882
320,645.2500
321,645.2500
322,657.2054
323,654.4868
324,670.3175
325,712.4341
326,692.5154
327,797.5736
328,771.5275
329,799.4680
330,770.1803
331,821.9862
332,236.0493
333,495.4893
334,296.5876
335,282.8576
336,212.6812
337,699.2288
338,215.7927
339,223.2721
340,219.9761
341,221.2198
342,222.9155
343,222.5962
344,221.9920
345,225.1210
346,226.4453
347,228.5964
348,231.1770
349,235.2423
350,234.6679
351,238.0384
352,805.3667
353,845.8733
354,795.6116
355,804.1134
356,592.8010
357,324.1302
358,228.6470
359,236.0113
360,237.8243
361,645.2500
362,645.2500
363,650.5942
364,694.4773
365,678.2782
366,716.9429
367,799.1457
368,770.3864
369,848.1706
370,839.4239
371,859.5415
372,240.8371
373,241.7704
374,239.1537
375,402.3657
376,221.1899
377,265.4804
378,220.5401
379,636.3492
380,406.5883
381,686.4937
382,218.4465
383,219.2853
384,221.9768
385,215.8431
386,222.1890
387,227.5023
388,217.6440
389,231.7934
390,236.7399
391,236.8987
392,240.0972
393,800.0609
394,854.6272
395,863.7045
396,860.6781
397,683.4852
398,382.8820
399,523.2326
400,230.1752
401,235.3453
402,237.6112
403,653.6800
404,653.6800
405,660.8008
406,692.5631
407,738.8153
408,726.7679
409,802.4609
410,784.2367
411,835.2759
412,864.9441
413,863.7731
414,243.2460
415,245.3052
416,245.5582
417,241.3446
418,213.6711
419,215.7296
420,282.6755
421,616.7807
422,210.8922
423,213.9612
424,218.1327
425,214.3088
426,226.9350
427,372.6649
428,248.8891
429,241.4690
430,235.9424
431,830.3157
432,631.9861
433,880.2581
434,813.3185
435,445.7300
436,273.1628
437,383.1241
438,234.8421
439,282.9092
440,239.4238
